Swedish_Lemma,English_Lemma,Chinese_Lemma,POS
trist,dull,无聊的,ADJ
trycka,press,按,VERB
anlända,arrive,到达,VERB
ankomst,arrival,到达,NOUN
träning,training,训练,NOUN
apparat,device,设备,NOUN
tvätt,laundry,洗涤,NOUN
arbetslös,unemployed,失业的,ADJ
arbetsplats,workplace,工作场所,NOUN
tända,light,点燃,VERB
tävling,competition,比赛,NOUN
armbåge,elbow,肘,NOUN
undra,wonder,想知道,VERB
asiatisk,Asian,亚洲的,ADJ
balkong,balcony,阳台,NOUN
band,band,带子,NOUN
varning,warning,警告,NOUN
bankkort,bank card,银行卡,NOUN
verklig,real,真实的,ADJ
bankomat,ATM,自动取款机,NOUN
verkligt,really,真正地,ADV
bar,bar,酒吧,NOUN
vikt,weight,重量,NOUN
vild,wild,野生的,ADJ
barnbarn,grandchild,孙辈,NOUN
vinnare,winner,获胜者,NOUN
barnvagn,stroller,婴儿车,NOUN
bastu,sauna,桑拿,NOUN
vuxen,adult,成人,NOUN
vänlig,friendly,友好的,ADJ
vänster,left,左,ADJ
våga,dare,敢于,VERB
blunda,close eyes,闭眼,VERB
leda,lead,带领,VERB
blyg,shy,害羞的,ADJ
öka,increase,增加,VERB
boende,residence,住所,NOUN
önska,wish,希望,VERB
bön,prayer,祈祷,NOUN
bör,ought,应该,AUX
amerikan,American,美国人,NOUN
camping,camping,露营,NOUN
cancer,cancer,癌症,NOUN
central,central,中心的,ADJ
chaufför,driver,司机,NOUN
checka,check,检查,VERB
chili,chili,辣椒,NOUN
chips,chips,薯片,NOUN
chock,shock,震惊,NOUN
cigarett,cigarette,香烟,NOUN
gemensam,common,共同的,ADJ
cirkel,circle,圆圈,NOUN
cirkus,circus,马戏团,NOUN
cola,cola,可乐,NOUN
cool,cool,酷的,ADJ
cykelhjälm,bike helmet,自行车头盔,NOUN
upptäcka,discover,发现,VERB
dans,dance,舞蹈,NOUN
dansare,dancer,舞者,NOUN
data,data,数据,NOUN
datorprogram,computer program,电脑程序,NOUN
datum,date,日期,NOUN
december,December,十二月,NOUN
den,the,那个,DET
deras,their,他们的,DET
detalj,detail,细节,NOUN
det,the,那,DET
effekt,effect,效果,NOUN
effektiv,effective,有效的,ADJ
egen,own,自己的,DET
ekonomi,economy,经济,NOUN
ekonomisk,economic,经济的,ADJ
