Swedish_Lemma,English_Lemma,Chinese_Lemma,POS
farlighet,dangerousness,危险性,NOUN
kompromiss,compromise,妥协,NOUN
godkännande,approval,批准,NOUN
förbud,ban,禁令,NOUN
farmaci,pharmacy,药学,NOUN
åtgärd,measure,措施,NOUN
farmaceut,pharmacist,药剂师,NOUN
strategi,strategy,策略,NOUN
taktik,tactics,战术,NOUN
procedur,procedure,程序,NOUN
arbetssätt,working method,工作方式,NOUN
hjälpmedel,aid,辅助工具,NOUN
fasad,facade,立面,NOUN
redskap,tool,工具,NOUN
anläggning,facility,设施,NOUN
komplex,complex,建筑群,NOUN
distrikt,district,区,NOUN
gränslinje,boundary,边界线,NOUN
helhet,whole,整体,NOUN
sats,clause,从句,NOUN
begrepp,concept,概念,NOUN
term,term,术语,NOUN
ordval,word choice,措辞,NOUN
formulering,phrasing,措辞,NOUN
färdas,travel,旅行,VERB
tolkning,interpretation,口译,NOUN
nyans,nuance,细微差别,NOUN
fällas,be felled,被砍倒,VERB
hederlig,honest,诚实的,ADJ
tonfall,intonation,语调,NOUN
åskådare,spectator,旁观者,NOUN
frånvaro,absence,缺席,NOUN
koncentration,concentration,专注,NOUN
galler,gate,栅栏,NOUN
observation,observation,观察,NOUN
bevakning,coverage,报道,NOUN
rapportering,reporting,报道,NOUN
nyhetsrapportering,news reporting,新闻报道,NOUN
massmedia,mass media,大众媒体,NOUN
redaktör,editor,编辑,NOUN
krönika,column,专栏,NOUN
gedigen,solid,扎实的,ADJ
recension,review,评论,NOUN
odds,odds,赔率,NOUN
så kallad,so-called,所谓的,ADJ
gips,plaster,石膏,NOUN
girig,greedy,贪婪的,ADJ
girighet,greed,贪婪,NOUN
insistera,insist,坚持,VERB
offentlig,public,公共的,ADJ
psykolog,psychologist,心理学家,NOUN
tolerera,tolerate,容忍,VERB
bekänna,confess,忏悔,VERB
bitti,early morning,清晨,ADV
bortom,beyond,在...之外,ADP
elände,misery,苦难,NOUN
frid,peace,和平,NOUN
förbanna,curse,诅咒,VERB
förgöra,destroy,毁掉,VERB
förmögenhet,wealth,财富,NOUN
försprång,lead,领先,NOUN
förstärkning,reinforcement,加强,NOUN
förtjusande,delightful,令人愉快的,ADJ
gottgöra,compensate,补偿,VERB
grann,nearby,附近的,ADJ
gryning,dawn,黎明,NOUN
immunitet,immunity,免疫力,NOUN
knipa,pinch,捏,VERB
kommissarie,commissioner,专员,NOUN
odödlig,immortal,不朽的,ADJ
skinna,shine,闪耀,VERB
såvida,unless,除非,SCONJ
territorium,territory,领土,NOUN
underrättad,informed,被通知的,ADJ
vansinne,madness,疯狂,NOUN
visdom,wisdom,智慧,NOUN
överenskommelse,agreement,协议,NOUN
allians,alliance,联盟,NOUN
anhängare,supporter,支持者,NOUN
anhålla,detain,拘留,VERB
anspråk,claim,要求,NOUN
hävda,assert,断言,VERB
yttra,express,表达,VERB
poängtera,emphasize,强调,VERB
ifrågasätta,question,质疑,VERB
utvärdera,evaluate,评估,VERB
fastställa,determine,确定,VERB
redogöra,account for,说明,VERB
redovisa,report,报告,VERB
klargöra,clarify,澄清,VERB
specificera,specify,指定,VERB
karakterisera,characterize,刻画,VERB
skildra,depict,描绘,VERB
framställa,portray,描绘,VERB
förespråka,advocate,提倡,VERB
rättfärdiga,justify,证明合理,VERB
bevittna,witness,目击,VERB
iaktta,observe,观察,VERB
kartlägga,map out,摸清,VERB
handleda,supervise,指导,VERB
strukturera,structure,构建,VERB
samordna,coordinate,协调,VERB
uppkomma,arise,产生,VERB
framträda,appear,出现,VERB
uppvisa,display,展示,VERB
tillhandahålla,provide,提供,VERB
tilldela,assign,分配,VERB
särskilja,distinguish,区分,VERB
åtskilja,separate,分开,VERB
sammanfoga,join,拼接,VERB
framkalla,cause,引起,VERB
utlösa,trigger,触发,VERB
prägla,shape,塑造,VERB
avslå,reject,驳回,VERB
förkasta,reject,否定,VERB
underkänna,fail,否决,VERB
bifalla,approve,批准,VERB
understödja,support,支持,VERB
