lang,level,sample_index,csv_line,lemma,english_lemma,chinese_lemma,upos,verdict,notes
en,B2,1,457,commission,commission,委员会,NOUN,keep,clean
en,B2,2,91,actuate,actuate,驱动,VERB,keep,clean
en,B2,3,495,constantly,constantly,不断地,ADV,keep,clean
en,B2,4,293,billion,billion,十亿,NUM,keep,clean
en,B2,5,1001,inquiry,inquiry,调查,NOUN,keep,clean
en,B2,6,1068,lawn,lawn,草坪,NOUN,keep,clean
en,B2,7,1861,whisper,whisper,低语,VERB,keep,clean
en,B2,8,1698,sweep,sweep,打扫,VERB,keep,clean
en,B2,9,1522,scatter,scatter,分散,VERB,keep,clean
en,B2,10,1085,lemon,lemon,柠檬,NOUN,keep,clean
en,B2,11,898,greedy,greedy,贪婪的,ADJ,keep,clean
en,B2,12,760,expertise,expertise,专业知识,NOUN,keep,clean
en,B2,13,1657,strain,strain,压力,NOUN,keep,clean
en,B2,14,1672,subway,subway,地铁,NOUN,keep,clean
en,B2,15,809,fleet,fleet,舰队,NOUN,keep,clean
en,B2,16,1858,whatsoever,whatsoever,任何,DET,keep,clean
en,B2,17,1654,stone,stone,石头,NOUN,keep,clean
en,B2,18,512,coordinate,coordinate,坐标,NOUN,keep,clean
en,B2,19,1457,republic,republic,共和国,NOUN,keep,clean
en,B2,20,357,bush,bush,灌木,NOUN,keep,clean
en,B2,21,288,beneath,beneath,在……下面,ADP,keep,clean
en,B2,22,451,combat,combat,战斗,NOUN,keep,clean
en,B2,23,1243,parade,parade,游行,NOUN,keep,clean
en,B2,24,1696,swap,swap,交换,VERB,keep,clean
