lang,level,sample_index,csv_line,lemma,english_lemma,chinese_lemma,upos,verdict,notes
en,A2,1,13,agent,agent,代理人,NOUN,keep,clean
en,A2,2,435,recently,recently,最近,ADV,keep,clean
en,A2,3,340,member,member,成员,NOUN,keep,clean
en,A2,4,15,among,among,在……之中,ADP,keep,clean
en,A2,5,168,dramatic,dramatic,戏剧性的,ADJ,keep,clean
en,A2,6,188,enemy,enemy,敌人,NOUN,keep,clean
en,A2,7,61,board,board,板,NOUN,keep,clean
en,A2,8,499,station,station,车站,NOUN,keep,clean
en,A2,9,233,form,form,形式,NOUN,keep,clean
en,A2,10,102,cheers,cheers,干杯,INTJ,keep,clean
en,A2,11,12,afternoon,afternoon,下午,NOUN,keep,clean
en,A2,12,564,whether,whether,是否,SCONJ,keep,clean
en,A2,13,443,responsibility,responsibility,责任,NOUN,keep,clean
en,A2,14,361,none,none,没有一个,PRON,keep,clean
en,A2,15,250,group,group,组,NOUN,keep,clean
en,A2,16,75,buddy,buddy,伙伴,NOUN,keep,clean
en,A2,17,302,justice,justice,正义,NOUN,keep,clean
en,A2,18,557,wall,wall,墙,NOUN,keep,clean
en,A2,19,325,loud,loud,大声的,ADJ,keep,clean
en,A2,20,528,thought,thought,想法,NOUN,keep,clean
en,A2,21,461,season,season,季节,NOUN,keep,clean
en,A2,22,275,hundred,hundred,百,NUM,keep,clean
en,A2,23,357,neither,neither,两者都不,DET,keep,clean
en,A2,24,104,choose,choose,选择,VERB,keep,clean
