English_Lemma,English_Lemma,Chinese_Lemma,POS
remote,remote,遥远的,ADJ
rent,rent,租用,VERB
repair,repair,修理,NOUN
reply,reply,回复,NOUN
represent,represent,代表,VERB
require,require,需要,VERB
resource,resource,资源,NOUN
retire,retire,退休,VERB
retirement,retirement,退休,NOUN
review,review,回顾,NOUN
rise,rise,上升,VERB
risky,risky,危险的,ADJ
rocket,rocket,火箭,NOUN
romance,romance,浪漫,NOUN
roommate,roommate,室友,NOUN
root,root,根,NOUN
rose,rose,玫瑰,NOUN
rub,rub,摩擦,VERB
rubber,rubber,橡胶,NOUN
rumor,rumor,谣言,NOUN
rush,rush,冲,VERB
sadness,sadness,悲伤,NOUN
sail,sail,航行,VERB
salary,salary,薪水,NOUN
salesman,salesman,销售员,NOUN
satisfied,satisfied,满意的,ADJ
savings,savings,存款,NOUN
scan,scan,扫描,VERB
scar,scar,疤痕,NOUN
scientist,scientist,科学家,NOUN
secretly,secretly,秘密地,ADV
seed,seed,种子,NOUN
select,select,选择,VERB
semester,semester,学期,NOUN
separate,separate,分开,VERB
share,share,股份,NOUN
sheet,sheet,床单,NOUN
shelf,shelf,架子,NOUN
shell,shell,壳,NOUN
shiny,shiny,闪亮的,ADJ
shocking,shocking,令人震惊的,ADJ
shore,shore,岸,NOUN
shrimp,shrimp,虾,NOUN
sickness,sickness,疾病,NOUN
silk,silk,丝绸,NOUN
ski,ski,滑雪,VERB
skill,skill,技能,NOUN
slice,slice,薄片,NOUN
slide,slide,滑动,NOUN
smooth,smooth,光滑的,ADJ
soccer,soccer,足球,NOUN
sofa,sofa,沙发,NOUN
software,software,软件,NOUN
soil,soil,土壤,NOUN
sore,sore,疼痛的,ADJ
spice,spice,香料,NOUN
spider,spider,蜘蛛,NOUN
spin,spin,旋转,VERB
stadium,stadium,体育场,NOUN
stamp,stamp,邮票,NOUN
standard,standard,标准,NOUN
stare,stare,凝视,VERB
steady,steady,稳定的,ADJ
steam,steam,蒸汽,NOUN
stove,stove,炉灶,NOUN
stream,stream,溪流,NOUN
stressed,stressed,焦虑的,ADJ
stretch,stretch,伸展,VERB
strict,strict,严格的,ADJ
string,string,细绳,NOUN
suggestion,suggestion,建议,NOUN
suitable,suitable,合适的,ADJ
suitcase,suitcase,手提箱,NOUN
sunrise,sunrise,日出,NOUN
sunset,sunset,日落,NOUN
surface,surface,浮出水面,VERB
surprising,surprising,令人惊讶的,ADJ
survivor,survivor,幸存者,NOUN
suspect,suspect,嫌疑人,NOUN
swallow,swallow,吞下,VERB
swear,swear,发誓,VERB
sweater,sweater,毛衣,NOUN
sweep,sweep,打扫,VERB
sweet,sweet,糖果,NOUN
symbol,symbol,象征,NOUN
tag,tag,标签,NOUN
talented,talented,有才华的,ADJ
tap,tap,水龙头,NOUN
target,target,针对,VERB
tattoo,tattoo,纹身,NOUN
tear,tear,撕碎,VERB
teenager,teenager,青少年,NOUN
temper,temper,脾气,NOUN
terrified,terrified,极度恐惧的,ADJ
terrifying,terrifying,令人恐惧的,ADJ
therefore,therefore,因此,ADV
thirsty,thirsty,口渴的,ADJ
thread,thread,线,NOUN
thrilled,thrilled,非常兴奋的,ADJ
tire,tire,使疲倦,VERB
tobacco,tobacco,烟草,NOUN
ton,ton,吨,NOUN
tool,tool,工具,NOUN
topic,topic,话题,NOUN
tourist,tourist,游客,NOUN
tournament,tournament,锦标赛,NOUN
traditional,traditional,传统的,ADJ
