Dutch_Lemma,English_Lemma,Chinese_Lemma,POS
mentaliteit,mentality,心态,NOUN
merkbaar,noticeable,显而易见的,ADJ
moskee,mosque,清真寺,NOUN
motiveren,to motivate,激励,VERB
negatief,negative,负面的,ADJ
nieuwsbrief,newsletter,简报,NOUN
nieuwsgierig,curious,好奇的,ADJ
noordelijk,northern,北方的,ADJ
nuance,nuance,细微差别,NOUN
nuttig,useful,有用的,ADJ
oftewel,or rather,也就是说,CCONJ
omgaan,to deal with,应对,VERB
onderhandelen,to negotiate,谈判,VERB
onderschatten,to underestimate,低估,VERB
ongelooflijk,incredible,难以置信的,ADJ
onlangs,recently,最近,ADV
onmiskenbaar,unmistakable,无可置疑的,ADJ
onschuldig,innocent,无辜的,ADJ
onszelf,ourselves,我们自己,PRON
ontmoeting,meeting,会面,NOUN
ontspannen,to relax,放松,VERB
onzeker,uncertain,不确定的,ADJ
opgeven,to give up,放弃,VERB
ophouden,to stop,停止,VERB
opmerkelijk,remarkable,值得注意的,ADJ
opmerking,remark,评论,NOUN
opvallend,remarkable,显著的,ADJ
origineel,original,原创的,ADJ
ouderen,elderly,老年人,NOUN
overdag,during the day,在白天,ADV
overeenstemming,consensus,一致,NOUN
overschatten,to overestimate,高估,VERB
pakket,package,包裹,NOUN
paleis,palace,宫殿,NOUN
paniek,panic,恐慌,NOUN
passagier,passenger,乘客,NOUN
passie,passion,激情,NOUN
patiënt,patient,病人,NOUN
pijnlijk,painful,痛苦的,ADJ
plaat,plate,盘子,NOUN
planeet,planet,行星,NOUN
ploeg,team,团队,NOUN
plotseling,sudden,突然的,ADJ
podium,stage,舞台,NOUN
poort,gate,大门,NOUN
praktijk,practice,实践,NOUN
prettig,pleasant,愉快的,ADJ
privilege,privilege,特权,NOUN
puur,pure,纯粹的,ADJ
rand,edge,边缘,NOUN
redelijk,reasonable,合理的,ADJ
reflectie,reflection,反思,NOUN
regelgeving,regulation,法规,NOUN
reiziger,traveler,旅行者,NOUN
rendement,yield,收益率,NOUN
roman,novel,小说,NOUN
rot,rotten,腐烂的,ADJ
salaris,salary,工资,NOUN
schoonheid,beauty,美丽,NOUN
schot,shot,射击,NOUN
schrijfster,writer,女作家,NOUN
