Spanish_Lemma,English_Lemma,Chinese_Lemma,POS
capa,layer,层,NOUN
capturar,capture,捕获,VERB
carbón,coal,煤,NOUN
caridad,charity,慈善,NOUN
caza,hunting,狩猎,NOUN
cazador,hunter,猎人,NOUN
cazar,to hunt,打猎,VERB
celos,jealousy,嫉妒,NOUN
cementerio,cemetery,墓地,NOUN
ceremonia,ceremony,仪式,NOUN
cerradura,lock,锁,NOUN
certificado,certificate,证书,NOUN
chaval,kid,小孩,NOUN
chimenea,fireplace,壁炉,NOUN
choque,crash,碰撞,NOUN
cicatriz,scar,伤疤,NOUN
cierre,closure,关闭,NOUN
cima,summit,顶峰,NOUN
cirujano,surgeon,外科医生,NOUN
civilización,civilization,文明,NOUN
claridad,clarity,清晰,NOUN
cobertura,coverage,覆盖范围,NOUN
cojo,lame,跛脚的,ADJ
columna,column,柱子,NOUN
coma,comma,逗号,NOUN
comando,command,命令,NOUN
combinación,combination,组合,NOUN
combustible,fuel,燃料,NOUN
comercial,commercial,商业的,ADJ
comercio,trade,贸易,NOUN
comisaría,police station,警察局,NOUN
comisión,commission,委员会,NOUN
comité,committee,委员会,NOUN
compasión,compassion,同情,NOUN
competencia,competition,竞争,NOUN
complejo,complex,复杂的,ADJ
concentración,concentration,集中,NOUN
concepto,concept,概念,NOUN
conclusión,conclusion,结论,NOUN
concreto,concrete,具体的,ADJ
condena,sentence,判决,NOUN
condenado,condemned,被定罪的,ADJ
conducta,behavior,行为,NOUN
conferencia,conference,会议,NOUN
confesar,to confess,承认,VERB
confesión,confession,忏悔,NOUN
confidencial,confidential,机密的,ADJ
conflicto,conflict,冲突,NOUN
confusión,confusion,混乱,NOUN
confuso,confused,困惑的,ADJ
congreso,congress,国会,NOUN
conjunto,set,一套,NOUN
consciente,conscious,有意识的,ADJ
conservar,to preserve,保存,VERB
conspiración,conspiracy,阴谋,NOUN
constante,constant,持续的,ADJ
construcción,construction,建筑,NOUN
consuelo,consolation,安慰,NOUN
convencer,to convince,说服,VERB
conveniente,convenient,方便的,ADJ
coraje,courage,勇气,NOUN
coro,choir,合唱团,NOUN
cortesía,courtesy,礼貌,NOUN
cosecha,harvest,收获,NOUN
costado,side,侧面,NOUN
creación,creation,创造,NOUN
crecimiento,growth,增长,NOUN
criada,maid,女仆,NOUN
criado,servant,仆人,NOUN
criar,to raise,抚养,VERB
crimen,crime,犯罪,NOUN
cráneo,skull,头骨,NOUN
crítica,criticism,批评,NOUN
crítico,critical,关键的,ADJ
cubierta,cover,封面,NOUN
culpar,to blame,责备,VERB
cumplido,compliment,赞美,NOUN
custodia,custody,监护,NOUN
cómplice,accomplice,同谋,NOUN
debilidad,weakness,弱点,NOUN
decente,decent,体面的,ADJ
declarar,to declare,声明,VERB
delicado,delicate,精致的,ADJ
delincuente,delinquent,罪犯,NOUN
delito,crime,罪行,NOUN
demanda,lawsuit,需求,NOUN
denuncia,report,举报,NOUN
depresión,depression,抑郁,NOUN
derrota,defeat,失败,NOUN
desafío,challenge,挑战,NOUN
desaparición,disappearance,失踪,NOUN
descubrimiento,discovery,发现,NOUN
desesperado,desperate,绝望的,ADJ
desfile,parade,游行,NOUN
desgraciado,unfortunate,不幸的,ADJ
desorden,disorder,混乱,NOUN
destrucción,destruction,破坏,NOUN
determinar,to determine,确定,VERB
deuda,debt,债务,NOUN
diagnóstico,diagnosis,诊断,NOUN
dignidad,dignity,尊严,NOUN
digno,worthy,值得的,ADJ
disfraz,disguise,伪装,NOUN
disposición,disposal,安排,NOUN
distrito,district,区,NOUN
división,division,分裂,NOUN
doloroso,painful,痛苦的,ADJ
duelo,grief,悲痛,NOUN
década,decade,十年,NOUN
ebrio,drunk,醉的,ADJ
economía,economy,经济,NOUN
edición,edition,版本,NOUN
elemento,element,元素,NOUN
embajada,embassy,大使馆,NOUN
embajador,ambassador,大使,NOUN
embarazo,pregnancy,怀孕,NOUN
emocional,emotional,情感的,ADJ
emperador,emperor,皇帝,NOUN
enano,dwarf,矮人,NOUN
encanto,charm,魅力,NOUN
encendido,ignition,点火,NOUN
enfermería,infirmary,医务室,NOUN
enfrentar,to face,面对,VERB
engañar,to deceive,欺骗,VERB
engaño,deception,欺骗,NOUN
enlace,link,链接,NOUN
ensayo,essay,文章,NOUN
enterado,aware,知情的,ADJ
enterrar,to bury,埋葬,VERB
entrega,delivery,交付,NOUN
entregado,devoted,奉献的,ADJ
envidia,envy,嫉妒,NOUN
envío,shipment,发送,NOUN
equilibrio,balance,平衡,NOUN
escala,stopover,中途停留,NOUN
esclavo,slave,奴隶,NOUN
escondite,hideout,藏身处,NOUN
escuadrón,squadron,中队,NOUN
escudo,shield,盾牌,NOUN
escándalo,scandal,丑闻,NOUN
esencia,essence,本质,NOUN
esencial,essential,基本的,ADJ
espacial,spatial,空间的,ADJ
espantoso,frightful,可怕的,ADJ
especialista,specialist,专家,NOUN
específico,specific,具体的,ADJ
espía,spy,间谍,NOUN
estable,stable,稳定的,ADJ
establecer,to establish,建立,VERB
estallar,to explode,爆发,VERB
estatal,state,国家的,ADJ
estatua,statue,雕像,NOUN
estrategia,strategy,策略,NOUN
estructura,structure,结构,NOUN
estupidez,stupidity,愚蠢,NOUN
etapa,stage,阶段,NOUN
eternidad,eternity,永恒,NOUN
evaluación,evaluation,评估,NOUN
evidencia,evidence,证据,NOUN
evidente,evident,明显的,ADJ
excelencia,excellence,卓越,NOUN
existencia,existence,存在,NOUN
expediente,file,档案,NOUN
experimento,experiment,实验,NOUN
explotar,to exploit,剥削,VERB
exposición,exhibition,展览,NOUN
extraordinario,extraordinary,非凡的,ADJ
extremo,extreme,极端的,ADJ
facultad,faculty,学院,NOUN
falla,fault,缺陷,NOUN
fallo,verdict,判决,NOUN
fama,fame,名声,NOUN
fascinante,fascinating,迷人的,ADJ
fenómeno,phenomenon,现象,NOUN
fianza,bail,保证金,NOUN
ficción,fiction,小说,NOUN
fingir,pretend,假装,VERB
flota,fleet,舰队,NOUN
formación,training,培训,NOUN
fortaleza,strength,力量,NOUN
fracasado,failed,失败的,ADJ
fracaso,failure,失败,NOUN
fraude,fraud,欺诈,NOUN
frecuencia,frequency,频率,NOUN
fuga,escape,逃跑,NOUN
galaxia,galaxy,星系,NOUN
galería,gallery,画廊,NOUN
garantía,guarantee,保证,NOUN
gatillo,trigger,扳机,NOUN
generación,generation,一代,NOUN
gesto,gesture,手势,NOUN
gira,tour,巡回演出,NOUN
giro,turn,转弯,NOUN
gloria,glory,荣耀,NOUN
gobernador,governor,州长,NOUN
grabación,recording,录音,NOUN
grandioso,grand,宏伟的,ADJ
granero,barn,谷仓,NOUN
grano,grain,谷物,NOUN
gravedad,gravity,重力,NOUN
griterío,clamor,喧闹,NOUN
guardaespaldas,bodyguard,保镖,NOUN
guerrero,warrior,战士,NOUN
guión,script,剧本,NOUN
habilidad,skill,技能,NOUN
hechizo,spell,咒语,NOUN
heredero,heir,继承人,NOUN
herencia,inheritance,遗产,NOUN
heroína,heroine,女英雄,NOUN
historial,record,记录,NOUN
homicidio,homicide,杀人罪,NOUN
huelga,strike,罢工,NOUN
huella,footprint,脚印,NOUN
humilde,humble,谦虚的,ADJ
identificación,identification,身份证明,NOUN
impedir,prevent,阻止,VERB
imperio,empire,帝国,NOUN
impresión,impression,印象,NOUN
impulso,impulse,冲动,NOUN
incapaz,incapable,无能的,ADJ
incidente,incident,事件,NOUN
inconsciente,unconscious,无意识的,ADJ
individuo,individual,个人,NOUN
industria,industry,工业,NOUN
infancia,childhood,童年,NOUN
infantil,childish,幼稚的,ADJ
infección,infection,感染,NOUN
infierno,hell,地狱,NOUN
influencia,influence,影响,NOUN
inicial,initial,最初的,ADJ
inmunidad,immunity,免疫,NOUN
inocencia,innocence,无辜,NOUN
inspiración,inspiration,灵感,NOUN
instalación,installation,安装,NOUN
instante,moment,瞬间,NOUN
instinto,instinct,本能,NOUN
intenso,intense,强烈的,ADJ
intercambio,exchange,交流,NOUN
interno,internal,内部的,ADJ
interrogatorio,interrogation,审问,NOUN
interrumpir,interrupt,打断,VERB
inusual,unusual,不寻常的,ADJ
