Spanish_Lemma,English_Lemma,Chinese_Lemma,POS
alma,soul,灵魂,NOUN
asunto,matter,事情,NOUN
capaz,capable,有能力的,ADJ
capitán,captain,队长,NOUN
cargo,position,职位,NOUN
carrera,career,职业,NOUN
caso,case,情况,NOUN
cita,appointment,约会,NOUN
compañía,company,公司,NOUN
confiar,to trust,信任,VERB
conocido,acquaintance,熟人,NOUN
conseguir,to get,得到,VERB
contacto,contact,联系,NOUN
cuenta,bill,账单,NOUN
culpa,fault,过错,NOUN
cárcel,prison,监狱,NOUN
daño,damage,损害,NOUN
decisión,decision,决定,NOUN
derecho,right,右边,NOUN
deseo,wish,愿望,NOUN
desierto,desert,沙漠,NOUN
destino,destination,目的地,NOUN
divorcio,divorce,离婚,NOUN
dolor,pain,疼痛,NOUN
duda,doubt,怀疑,NOUN
entendido,understood,明白的,ADJ
falta,lack,缺乏,NOUN
fin,end,结束,NOUN
fondo,bottom,底部,NOUN
forma,shape,形状,NOUN
frente,front,前面,NOUN
fuerza,strength,力量,NOUN
guerra,war,战争,NOUN
hecho,fact,事实,NOUN
hogar,home,家,NOUN
locura,madness,疯狂,NOUN
matrimonio,marriage,婚姻,NOUN
montón,lot,许多,NOUN
morir,die,死,VERB
negocio,business,生意,NOUN
nivel,level,水平,NOUN
odio,hate,仇恨,NOUN
opinión,opinion,意见,NOUN
orden,order,命令,NOUN
oído,hearing,听力,NOUN
parte,part,部分,NOUN
paz,peace,和平,NOUN
peligro,danger,危险,NOUN
pena,pity,遗憾,NOUN
permiso,permission,许可,NOUN
placer,pleasure,快乐,NOUN
principio,beginning,开始,NOUN
prisa,hurry,匆忙,NOUN
punto,point,点,NOUN
rato,while,一会儿,NOUN
realidad,reality,现实,NOUN
recuerdo,memory,记忆,NOUN
relación,relationship,关系,NOUN
reputación,reputation,名声,NOUN
resto,rest,其余,NOUN
reunión,meeting,会议,NOUN
rey,king,国王,NOUN
salvar,to save,拯救,VERB
sexo,sex,性别,NOUN
señal,sign,标志,NOUN
tema,topic,主题,NOUN
tipo,type,类型,NOUN
tontería,nonsense,废话,NOUN
trasero,rear,后面的,ADJ
vista,view,景色,NOUN
vuelta,return,回来,NOUN
zona,zone,区域,NOUN
vestir,to dress,穿衣,VERB
abrigo,coat,外套,NOUN
absolutamente,absolutely,绝对地,ADV
acabar,to finish,完成,VERB
acceso,access,进入,NOUN
acción,action,行动,NOUN
aceptar,to accept,接受,VERB
actuar,to act,行动,VERB
aeropuerto,airport,机场,NOUN
agujero,hole,洞,NOUN
alegría,joy,快乐,NOUN
alguno,some,一些,DET
altura,height,高度,NOUN
ambulancia,ambulance,救护车,NOUN
amistad,friendship,友谊,NOUN
anillo,ring,戒指,NOUN
anterior,previous,以前的,ADJ
antiguo,old,古老的,ADJ
apartamento,apartment,公寓,NOUN
apenas,barely,几乎不,ADV
aquel,that,那个,DET
aquella,that,那个,DET
arena,sand,沙子,NOUN
arreglar,to fix,修理,VERB
arresto,arrest,逮捕,NOUN
arte,art,艺术,NOUN
artista,artist,艺术家,NOUN
artículo,article,文章,NOUN
asiento,seat,座位,NOUN
asistente,assistant,助手,NOUN
atrapado,trapped,被困的,ADJ
atrapar,to catch,抓住,VERB
autobús,bus,公共汽车,NOUN
aventura,adventure,冒险,NOUN
averiguar,to find out,查明,VERB
azul,blue,蓝色,ADJ
bolígrafo,ballpoint pen,圆珠笔,NOUN
baile,dance,舞蹈,NOUN
cuaderno,notebook,笔记本,NOUN
bala,bullet,子弹,NOUN
banco,bank,银行,NOUN
banda,band,乐队,NOUN
barrio,neighborhood,街区,NOUN
bebida,drink,饮料,NOUN
belleza,beauty,美丽,NOUN
beso,kiss,吻,NOUN
