German_Lemma,English_Lemma,Chinese_Lemma,POS
treu,faithful,忠诚的,ADJ
Trinkgeld,tip,小费,NOUN
trocken,dry,干的,ADJ
Tropfen,drop,滴,NOUN
Trottel,fool,傻瓜,NOUN
trösten,to comfort,安慰,VERB
tun,to do,做,AUX
Turm,tower,塔,NOUN
typisch,typical,典型的,ADJ
Tüte,bag,袋子,NOUN
Ufer,shore,岸,NOUN
umarmen,hug,拥抱,VERB
umziehen,move,搬家,VERB
unbekannt,unknown,未知的,ADJ
unglücklich,unhappy,不快乐的,ADJ
Universum,universe,宇宙,NOUN
unsicher,insecure,不确定的,ADJ
unterm,under the,在...下面,ADP
Unterschrift,signature,签名,NOUN
unwichtig,unimportant,不重要的,ADJ
Vampir,vampire,吸血鬼,NOUN
verabredet,arranged,约定的,ADJ
verbessern,to improve,改进,VERB
Verein,club,协会,NOUN
vergraben,to bury,埋葬,VERB
Verkauf,sale,销售,NOUN
Verkehr,traffic,交通,NOUN
verknallt,infatuated,迷恋的,ADJ
verlieben,to fall in love,坠入爱河,VERB
verlobt,engaged,订婚的,ADJ
Verlobte,fiance,未婚夫,NOUN
Verlobung,engagement,订婚,NOUN
Versager,loser,失败者,NOUN
versaut,ruined,搞砸的,ADJ
verschwenden,to waste,浪费,VERB
verwöhnen,to spoil,溺爱,VERB
Viertel,quarter,四分之一,NOUN
vorhaben,to plan,计划,VERB
vorlesen,to read aloud,朗读,VERB
Waschküche,laundry room,洗衣房,NOUN
wegnehmen,to take away,拿走,VERB
weich,soft,柔软的,ADJ
weise,wise,明智的,ADJ
Welle,wave,波浪,NOUN
Werbung,advertising,广告,NOUN
Werkstatt,workshop,车间,NOUN
Wichtigste,most important thing,最重要的事,NOUN
widersprechen,to contradict,反驳,VERB
Wiederhören,goodbye (phone),再见（电话用语）,NOUN
wiedersehen,to see again,再见,VERB
Witwe,widow,寡妇,NOUN
Wohnwagen,caravan,房车,NOUN
Wolle,wool,羊毛,NOUN
womit,with what,用什么,ADV
wundern,to wonder,惊讶,VERB
wundervoll,wonderful,奇妙的,ADJ
Wäsche,laundry,洗涤物,NOUN
Würstchen,sausage,香肠,NOUN
zahm,tame,温顺的,ADJ
Zahnarzt,dentist,牙医,NOUN
Zauber,magic,魔法,NOUN
Zauberer,wizard,魔术师,NOUN
Zaun,fence,栅栏,NOUN
Zelt,tent,帐篷,NOUN
Zentimeter,centimeter,厘米,NOUN
Zentrum,center,中心,NOUN
Zettel,note,纸条,NOUN
Zigarette,cigarette,香烟,NOUN
Zirkus,circus,马戏团,NOUN
zunächst,initially,首先,ADV
zurückbringen,to bring back,带回,VERB
zurückrufen,to call back,回电话,VERB
zweiter,second,第二,ADJ
Zwilling,twin,双胞胎,NOUN
zwinkern,to wink,眨眼,VERB
zwitschern,to chirp,啁啾,VERB
Ärztin,doctor,女医生,NOUN
Öffnung,opening,开口,NOUN
Öl,oil,油,NOUN
übernachten,to stay overnight,过夜,VERB
Übersetzung,translation,翻译,NOUN
Übung,exercise,练习,NOUN
abbrechen,to cancel,取消,VERB
abhängen,to depend on,依赖,VERB
abhängig,dependent,依赖的,ADJ
ablaufen,to expire,过期,VERB
ablenken,to distract,使分心,VERB
Ablenkung,distraction,分心,NOUN
abraten,to advise against,劝阻,VERB
Abschied,farewell,告别,NOUN
Abschluss,degree,学位,NOUN
abschätzen,to estimate,估测,VERB
absichtlich,intentional,故意的,ADJ
absinken,to sink,下沉,VERB
absolvieren,to complete,完成,VERB
Abstand,distance,距离,NOUN
abstimmen,to vote,表决,VERB
abwarten,to wait and see,等待观望,VERB
Abzweigung,turnoff,岔路,NOUN
aggressiv,aggressive,好斗的,ADJ
Akademie,academy,学院,NOUN
Akzent,accent,口音,NOUN
allergisch,allergic,过敏的,ADJ
allgemein,general,一般的,ADJ
allzu,too,过于,ADV
amüsieren,to amuse,逗乐,VERB
anbauen,to cultivate,种植,VERB
andauernd,constant,持续的,ADJ
Anerkennung,recognition,认可,NOUN
anfühlen,to feel,感觉,VERB
angeben,to state,说明,VERB
angeblich,allegedly,据称,ADV
angreifen,to attack,进攻,VERB
anhalten,to stop,停止,VERB
Anhänger,supporter,支持者,NOUN
Anlage,facility,设施,NOUN
Annahme,assumption,假设,NOUN
ansagen,to announce,播报,VERB
anscheinend,apparently,显然,ADV
Ansicht,view,观点,NOUN
anspruchsvoll,demanding,要求高的,ADJ
anstellen,to employ,雇用,VERB
anständig,decent,体面的,ADJ
Anweisung,instruction,指示,NOUN
anwesend,present,在场的,ADJ
Anwältin,lawyer (female),女律师,NOUN
Anzahl,number,数量,NOUN
Anzeichen,sign,迹象,NOUN
Apparat,apparatus,设备,NOUN
Argument,argument,论据,NOUN
Armer,poor person,穷人,NOUN
Atelier,studio,工作室,NOUN
attraktiv,attractive,有吸引力的,ADJ
aufatmen,to breathe again,松口气,VERB
aufbauen,to build,建立,VERB
aufbewahren,to keep,保存,VERB
aufdecken,to uncover,揭露,VERB
auffallen,to stand out,引人注目,VERB
aufheben,to lift,举起,VERB
auflösen,to dissolve,解散,VERB
aufmerksam,attentive,专注的,ADJ
Aufnahme,recording,录音,NOUN
aufregen,to upset,使生气,VERB
aufregend,exciting,令人兴奋的,ADJ
aufrichtig,sincere,真诚的,ADJ
aufstellen,to set up,建立,VERB
auftauchen,to appear,出现,VERB
aufteilen,to divide,分配,VERB
auftreten,to appear,出现,VERB
