Chinese_Lemma,English_Translation,Spanish_Translation,POS
一下,a bit,un momento,X
一下子,all at once,de repente,X
一丝不苟,not one thread loose (idiom); strictly according to the rules,escrupuloso,X
一个,one,uno,X
一个月,one month,un mes,X
一举两得,one move,matar dos pájaros de un tiro,X
一些,some,algunos,X
一人,one person,una persona,X
一件,one item,un,X
一份,one portion,una porcion,X
一会,a while,un rato,X
一位,one (polite),un,X
一個,one,uno,X
一再,repeatedly,reiteradamente,X
一分钟,one minute,un minuto,X
一切都是,everything is,todo es,X
一刻,one moment,un momento,X
一副,one pair,un par,X
一半,half,la mitad,X
一口,one bite,un bocado,X
一句,one sentence,una frase,X
一只,one (animal),un,X
一台,one machine,una,X
一号,number one,numero uno,X
一名,one (person),un,X
一向,always (previously),siempre,X
一员,one member,un miembro,X
一周,one week,una semana,X
一命,one life,una vida,X
一团糟,a mess,un desastre,X
一场,one (event),un,X
一块,one piece,un trozo,X
一堆,a pile,un monton,X
一声,a sound,un sonido,X
一夜,one night,una noche,X
一大,a big,un gran,X
一大堆,a big pile,un monton,X
一天,one day,un dia,X
一头,one head,una cabeza,X
一套,one set,un juego,X
一如既往,just as in the past (idiom); as before,como siempre,X
一家,one family,una familia,X
一家人,whole family,toda la familia,X
一对,a pair,una pareja,X
一小,a small,un pequeno,X
一帆风顺,propitious wind throughout the journey (idiom),viento favorable en todo el viaje,X
一年,one year,un ano,X
一度,for a time,durante un tiempo,X
一座,one (building),un,X
一张,one (flat),un,X
一律,same,igual,X
一把,one handful,un,X
一支,one stick,un,X
一整天,all day long,todo el dia,X
一无所知,know nothing,no saber nada,X
一晚,one night,una noche,X
一本,one book,un libro,X
一条,one (long),un,X
一杯,one cup,una taza,X
一枪,one shot,un disparo,X
一架,one (machine),un,X
一根,one stick,un,X
一模一样,exactly the same,exactamente igual,X
一樣,same,igual,X
一次,once,una vez,X
一步,one step,un paso,X
一段,a section,un tramo,X
一段时间,a period of time,un tiempo,X
一流,top quality,de primera,X
一点,a little,un poco,X
一点儿,a little,un poquito,X
一点点,a little bit,un poquito,X
一片,a piece,un trozo,X
一瓶,one bottle,una botella,X
一生,a lifetime,toda la vida,X
一番,one round,una ronda,X
一百,one hundred,cien,X
一百万,one million,un millon,X
一目了然,obvious at a glance (idiom),evidente a simple vista,X
一眼,one glance,una mirada,X
一种,one kind,un tipo,X
一種,one kind,un tipo,X
一笔,one sum,una suma,X
一群,a group,un grupo,X
一艘,one (boat),un,X
一行,a group,un grupo,X
一贯,consistent,constante,X
一趟,a trip,un viaje,X
一辆,one (vehicle),un,X
一遍,once,una vez,X
一道,together,juntos,X
一部,one part,un,X
一部分,a part,una parte,X
一间,one room,una habitacion,X
一阵子,a while,un rato,X
一面,one side,un lado,X
一项,one item,un,X
