Chinese_Lemma,English_Translation,Spanish_Translation,POS
一,one,un,X
七,seven,siete,X
三,three,tres,X
上,up / above,arriba,X
上午,morning,mañana,X
下,down,abajo,X
下午,afternoon,tarde,X
下雨,to rain,llover,X
不,no / not,no,X
不客气,you're welcome,de nada,X
东西,thing,cosa,X
个,measure word (general),clasificador (general),X
中午,noon,mediodía,X
中国,China,China,X
九,nine,nueve,X
书,book,libro,X
买,to buy,comprar,X
了,completed-action particle,partícula de acción completada,X
二,two,dos,X
五,five,cinco,X
些,some,algunos,X
人,person,persona,X
什么,what,qué,X
今天,today,hoy,X
他,he / him,él,X
会,can / to be able to,poder,X
住,to live,vivir,X
你,you,tú,X
做,to do / to make,hacer,X
儿子,son,hijo,X
先生,Mr. / sir,señor,X
八,eight,ocho,X
六,six,seis,X
再见,goodbye,adiós,X
写,to write,escribir,X
冷,cold,frío,X
几,how many / a few,cuántos / unos pocos,X
出租车,taxi,taxi,X
分钟,minute,minuto,X
前面,front / ahead,delante,X
北京,Beijing,Pekín,X
医生,doctor,médico,X
医院,hospital,hospital,X
十,ten,diez,X
去,to go,ir,X
叫,to be called,llamarse,X
吃,to eat,comer,X
同学,classmate,compañero de clase,X
名字,name,nombre,X
后面,back / behind,detrás,X
吗,question particle,partícula interrogativa,X
听,to listen / to hear,escuchar / oír,X
呢,modal particle,partícula modal,X
和,and,y,X
哪,which,cuál,X
哪儿,where,dónde,X
商店,store / shop,tienda,X
喂,hello (phone),bueno (al teléfono),X
喜欢,to like,gustar,X
喝,to drink,beber,X
四,four,cuatro,X
回,to return,volver,X
在,at / in / on,en,X
坐,to sit,sentarse,X
块,"piece (measure word, money)",kuai (clasificador de dinero),X
多,many / much,mucho,X
多少,how many / how much,cuántos / cuánto,X
大,big / large,grande,X
天气,weather,clima / tiempo,X
太,too / excessively,demasiado,X
女儿,daughter,hija,X
她,she / her,ella,X
好,good / well,bien / bueno,X
妈妈,mom / mother,mamá,X
字,character / word,carácter / palabra,X
学习,to study / to learn,estudiar / aprender,X
学校,school,escuela,X
学生,student,estudiante,X
家,home / family,casa / familia,X
对不起,sorry,perdón / lo siento,X
小,small,pequeño,X
小姐,miss,señorita,X
少,few,poco,X
岁,year (of age),año (de edad),X
工作,work / to work,trabajo / trabajar,X
年,year,año,X
开,to open,abrir,X
很,very,muy,X
怎么,how,cómo,X
怎么样,how about,cómo,X
想,to think / to want,pensar / querer,X
我,I,yo,X
我们,we,nosotros,X
打电话,to make a phone call,hacer una llamada,X
日,day / sun,día / sol,X
时候,time / when,momento / cuando,X
明天,tomorrow,mañana,X
星期,week,semana,X
昨天,yesterday,ayer,X
是,to be,ser,X
月,month / moon,mes / luna,X
有,to have,tener,X
朋友,friend,amigo,X
本,measure word for books,clasificador para libros,X
来,to come,venir,X
杯子,cup,taza / vaso,X
桌子,table,mesa,X
椅子,chair,silla,X
水,water,agua,X
水果,fruit,fruta,X
汉语,Chinese (language),chino,X
没,not / not have,no / no tener,X
没关系,it doesn't matter,no importa,X
漂亮,pretty,bonito / lindo,X
火车站,train station,estación de tren,X
点,o'clock / point,en punto / punto,X
热,hot,calor / caliente,X
爱,to love,amar,X
爸爸,dad / father,papá,X
狗,dog,perro,X
猫,cat,gato,X
现在,now,ahora,X
电影,movie,película,X
电脑,computer,ordenador / computadora,X
电视,television,televisión,X
的,possessive particle,partícula posesiva,X
看,to look / to see / to read,ver / mirar / leer,X
看见,to see,ver,X
睡觉,to sleep,dormir,X
米饭,cooked rice,arroz,X
老师,teacher,profesor,X
能,can / to be able to,poder,X
苹果,apple,manzana,X
茶,tea,té,X
菜,food / dish,comida / plato,X
衣服,clothes,ropa,X
认识,to know / to recognize,conocer / reconocer,X
说话,to speak,hablar,X
请,please / to invite,por favor / invitar,X
读,to read,leer,X
谁,who,quién,X
谢谢,thank you,gracias,X
这,this,este,X
那,that,ese,X
都,all,todo,X
里,inside / in,dentro / en,X
钱,money,dinero,X
零,zero,cero,X
飞机,airplane,avión,X
饭馆,restaurant,restaurante,X
高兴,happy,feliz,X
