Chinese_Lemma,English_Translation,Spanish_Translation,POS
一切,everything,todo,X
不仅,not only (this one),no solo (este),X
不但,not only (... but also...),no solo (... sino también...),X
不得不,have no choice or option but to,no tener más remedio que,X
不管,no matter (what,no importa (qué,X
不过,only,pero,X
与,and,y,X
专业,specialty,especialidad,X
专门,specialist,especializado,X
世纪,century,siglo,X
丢,to lose,perder,X
严格,strict,estricto,X
严重,serious / severe,grave / serio,X
个子,height,estatura,X
中文,Chinese,chino,X
丰富,to enrich,enriquecer,X
主动,to take the initiative,tomar la iniciativa,X
主意,plan,idea,X
举办,to conduct,organizar,X
之,(possessive particle,(partícula posesiva,X
乒乓球,table tennis,tenis de mesa,X
乘坐,to ride (in a vehicle),viajar (en un vehículo),X
也许,perhaps,quizás,X
乱,in confusion or disorder,desordenado,X
于是,thereupon,por lo tanto,X
互相,each other,mutuamente,X
亚洲,Asia,Asia,X
交,to hand over,entregar,X
交流,to exchange,intercambiar,X
交通,to be connected,tráfico,X
京剧,Beijing opera,ópera de Pekín,X
亮,bright,brillante,X
亲戚,a relative (i.e. family relation),un pariente (relación familiar),X
人民币,Renminbi (RMB),renminbi (RMB),X
亿,100 million,cien millones,X
仍然,still,todavía,X
从来,always,siempre,X
仔细,careful,cuidadoso,X
代替,instead,sustituir,X
代表,representative,representante,X
以,to use,usar,X
价格,price,precio,X
任何,any,cualquier,X
任务,mission,misión,X
份,classifier for gifts,clasificador para regalos,X
优点,merit,ventaja,X
优秀,outstanding,excelente,X
传真,fax,fax,X
伤心,to grieve,entristecerse,X
估计,to estimate,estimar,X
作者,author,autor,X
使用,to use,usar,X
例如,for example,por ejemplo,X
保护,to protect,proteger,X
保证,guarantee,garantizar,X
信任,to trust,confiar en,X
信心,confidence,confianza,X
信用卡,credit card,tarjeta de crédito,X
俩,two (colloquial equivalent of 兩個|两个),los dos (equivalente coloquial de 两个),X
修,to decorate,reparar,X
倍,(two,múltiplo (de dos,X
值得,to be worth,valer la pena,X
假,fake,falso,X
做生意,to do business,hacer negocios,X
停止,to stop,detener,X
偶尔,occasionally,ocasionalmente,X
儿童,child,niño,X
允许,to permit,permitir,X
光,light,luz,X
免费,free (of charge),gratis,X
入口,entrance,entrada,X
全部,whole,todo,X
公里,kilometer,kilómetro,X
共同,common,común,X
关键,crucial point,punto clave,X
兴奋,excited,emocionado,X
其中,among,entre ellos,X
其次,next,en segundo lugar,X
养成,to cultivate,cultivar,X
内,inside,dentro,X
内容,content,contenido,X
农村,rural area,zona rural,X
冷静,calm,tranquilo,X
准时,on time,puntual,X
准确,accurate,exacto,X
凉快,nice and cold,fresco,X
减少,to lessen,reducir,X
减肥,to lose weight,adelgazar,X
出发,to start out,salir,X
出差,to go on an official or business trip,viajar por negocios,X
出生,to be born,nacer,X
刀,knife,cuchillo,X
分之,(indicating a fraction),(indica una fracción),X
刚刚,just recently,justo ahora,X
判断,to decide,juzgar,X
到处,everywhere,por todas partes,X
到底,finally,al fin y al cabo,X
制造,to manufacture,fabricar,X
剩,to remain,quedar,X
力气,strength,fuerza,X
加油站,gas station,gasolinera,X
加班,to work overtime,hacer horas extra,X
动作,movement,movimiento,X
勇敢,brave,valiente,X
包括,to comprise,incluir,X
区别,difference,diferencia,X
十分,to divide into ten equal parts,dividir en diez partes iguales,X
千万,ten million,diez millones,X
博士,doctor,doctorado,X
印象,impression,impresión,X
危险,danger,peligro,X
即使,even if,incluso si,X
却,but,pero,X
厉害,difficult to deal with,formidable,X
压力,pressure,presión,X
厚,thick,grueso,X
原因,cause,causa,X
原来,original,originalmente,X
原谅,to excuse,perdonar,X
参观,to look around,visitar,X
及时,in time,a tiempo,X
友好,friendly,amistoso,X
友谊,companionship,amistad,X
反对,to fight against,oponerse a,X
反映,to mirror,reflejar,X
发,to send out,enviar,X
发展,development,desarrollo,X
发生,to happen,ocurrir,X
取,to take,tomar,X
受不了,unbearable,insoportable,X
受到,to receive,recibir,X
另外,additional,adicional,X
只好,without any better option,no tener más remedio que,X
只要,if only,con tal de que,X
可怜,pitiful,lamentable,X
可惜,it is a pity,es una lástima,X
可是,but,pero,X
台,typhoon,plataforma,X
叶子,foliage,hoja,X
号码,number,número,X
吃惊,to be startled,sorprenderse,X
各,each,cada,X
合格,qualified,apto,X
合适,suitable,adecuado,X
同情,to sympathize with,compadecerse de,X
后悔,to regret,arrepentirse,X
后来,afterwards,después,X
否则,if not,de lo contrario,X
吵,to quarrel,discutir,X
吸引,to attract (interest,atraer (interés,X
呀,(particle equivalent to 啊 after a vowel,(partícula equivalente a 啊 tras una vocal,X
周围,surroundings,alrededores,X
味道,flavor,sabor,X
咱们,we or us (including both the speaker and the person(s) spoken to),nosotros (incluye al hablante y al interlocutor),X
咳嗽,to cough,toser,X
咸,salted,salado,X
响,echo,resonar,X
售货员,salesperson,dependiente,X
商量,to consult,consultar,X
嘴,mouth,boca,X
回忆,to recall,recordar,X
因此,thus,por lo tanto,X
困,sleepy,somnoliento,X
困难,difficult,difícil,X
国际,international,internacional,X
圆,circle,círculo,X
地址,address,dirección,X
地球,the Earth,la Tierra,X
场,large place used for a specific purpose,lugar amplio para un fin específico,X
坚持,to persevere with,perseverar en,X
垃圾桶,rubbish bin,cubo de basura,X
基础,foundation / base,base / fundamento,X
堵车,traffic jam,atasco,X
塑料袋,plastic bag,bolsa de plástico,X
填空,to fill a job vacancy,rellenar un hueco,X
墙,wall,pared,X
增加,to raise,aumentar,X
增长,to grow,crecer,X
复印,to photocopy,fotocopiar,X
复杂,complicated,complicado,X
够,to reach,alcanzar,X
大使馆,embassy,embajada,X
大夫,doctor,médico,X
大概,roughly,aproximadamente,X
大约,approximately,aproximadamente,X
失望,disappointed,decepcionado,X
失败,to be defeated,fracasar,X
奖金,premium,prima,X
好像,as if,como si,X
好处,benefit,beneficio,X
孙子,grandson,nieto,X
孤单,lone,solitario,X
安全,safe,seguro,X
安排,to arrange,organizar,X
完全,complete,completo,X
实在,really,realmente,X
实际,actual,real,X
害羞,shy,tímido,X
家具,furniture,muebles,X
宽,lenient,ancho,X
寄,to live (in a house),vivir (en una casa),X
密码,code,contraseña,X
富,rich,rico,X
寒假,winter vacation,vacaciones de invierno,X
对,couple,par,X
对话,dialog,diálogo,X
对面,(sitting) opposite,(sentado) enfrente,X
导游,tour guide,guía turístico,X
将来,in the future,en el futuro,X
尊重,to esteem,respetar,X
小说,novel,novela,X
尝,to taste,probar,X
尤其,especially,especialmente,X
尽管,despite,a pesar de,X
工具,tool,herramienta,X
工资,wages,salario,X
巧克力,chocolate (loanword),chocolate (extranjerismo),X
差不多,almost,casi,X
市场,marketplace,mercado,X
帅,handsome,guapo,X
师傅,master,maestro,X
干,tree trunk,tronco,X
干杯,to drink a toast,brindar,X
干燥,to dry (of weather,seco (del clima,X
平时,ordinarily,normalmente,X
年龄,(a person's) age,edad (de una persona),X
并且,and,y además,X
幸福,happiness,felicidad,X
幽默,(loanword) humor,humor (extranjerismo),X
广告,to advertise,anunciar,X
广播,broadcast,transmisión,X
底,background,fondo,X
座,seat,asiento,X
座位,seat,asiento,X
开玩笑,to play a joke,hacer una broma,X
弄,to do,hacer,X
引起,to give rise to,provocar,X
弹,to pluck (a string),tocar (una cuerda),X
当,to be,ser,X
当地,local,local / de la zona,X
当时,then,entonces,X
往,to go (in a direction),hacia (una dirección),X
往往,often,a menudo,X
律师,lawyer,abogado,X
得意,proud of oneself,orgulloso de sí mismo,X
心情,mood,estado de ánimo,X
忽然,suddenly,de repente,X
怀疑,to doubt,dudar,X
态度,manner,actitud,X
性别,gender,género,X
性格,nature,carácter,X
总结,to sum up,resumir,X
恐怕,fear,temer,X
情况,circumstances,situación,X
愉快,cheerful,alegre,X
意见,idea,opinión,X
感动,to move (sb),conmover (a alguien),X
感情,feeling,sentimiento,X
感觉,to feel,sentir,X
感谢,(express) thanks,dar las gracias,X
懒,lazy,perezoso,X
成为,to become,convertirse en,X
成功,success,éxito,X
成熟,mature,maduro,X
戴,to put on or wear (glasses,ponerse (gafas,X
所有,all,todo,X
打印,to print,imprimir,X
打扮,to decorate,arreglarse,X
打扰,to disturb,molestar,X
打折,to give a discount,hacer un descuento,X
打针,to give or have an injection,poner o recibir una inyección,X
扔,to throw,tirar,X
扩大,to expand,ampliar,X
批评,to criticize,criticar,X
技术,technology,tecnología,X
护士,nurse,enfermero,X
报名,to sign up,inscribirse,X
报道,report,informe,X
抬,to lift,levantar,X
抱,to hold,abrazar,X
抱歉,to be sorry,sentirlo,X
抽烟,to smoke (a cigarette,fumar (un cigarrillo,X
拉,to pull,tirar de,X
拒绝,to refuse,rechazar,X
招聘,recruitment,contratación,X
挂,to hang or suspend (from a hook etc),"colgar (de un gancho, etc.)",X
指,finger,señalar,X
按时,on time,a tiempo,X
按照,according to,según,X
挺,to stick out,sobresalir,X
掉,to fall,caer,X
排列,array,ordenar,X
接受,to accept,aceptar,X
推,to push,empujar,X
推迟,to postpone,posponer,X
提供,to offer,ofrecer,X
提前,to shift to an earlier date,adelantar,X
提醒,to remind,recordar,X
握手,to shake hands,dar la mano,X
撞,to hit,chocar,X
擦,to wipe,limpiar,X
支持,to be in favor of,apoyar,X
收,to receive,recibir,X
收入,to take in,ingresos,X
收拾,to put in order,ordenar,X
改变,to change,cambiar,X
放弃,to renounce,renunciar a,X
放暑假,The summer holidays,las vacaciones de verano,X
故意,deliberately,deliberadamente,X
效果,result,efecto,X
教授,professor,profesor,X
教育,to educate,educar,X
散步,to take a walk,pasear,X
数字,numeral,número,X
数量,amount,cantidad,X
敲,to hit,golpear,X
整理,to arrange,ordenar,X
整齐,orderly,ordenado,X
文章,article,artículo,X
