Chinese_Lemma,English_Lemma,Chinese_Lemma,POS
装,clothing,装,NOUN
传,pass on,传,VERB
单,single,单,ADJ
通,to pass through,通,VERB
老百姓,ordinary people,老百姓,NOUN
胆小鬼,coward,胆小鬼,NOUN
背景,background,背景,NOUN
胜利,victory,胜利,NOUN
能干,capable,能干,ADJ
自从,since,自从,ADP
自信,self-confident,自信,ADJ
自私,selfish,自私,ADJ
舍不得,to be reluctant to part with,舍不得,VERB
舒适,comfortable,舒适,ADJ
英雄,hero,英雄,NOUN
落后,to fall behind,落后,VERB
表现,to perform,表现,VERB
表面,surface,表面,NOUN
观察,observation,观察,NOUN
规则,rule,规则,NOUN
规矩,rule,规矩,NOUN
角色,role,角色,NOUN
计算,calculation,计算,NOUN
训练,training,训练,NOUN
记录,record,记录,NOUN
记忆,memory,记忆,NOUN
试卷,exam paper,试卷,NOUN
话题,topic,话题,NOUN
说不定,perhaps,说不定,ADV
课程,course,课程,NOUN
资料,data,资料,NOUN
赞成,to approve,赞成,VERB
趁,to avail oneself of,趁,ADP
身份,identity,身份,NOUN
软件,software,软件,NOUN
辞职,to resign,辞职,VERB
达到,to reach,达到,VERB
退休,to retire,退休,VERB
通常,usually,通常,ADV
造成,to cause,造成,VERB
道理,reason,道理,NOUN
重复,to repeat,重复,VERB
陌生,strange,陌生,ADJ
除非,unless,除非,SCONJ
随时,at any time,随时,ADV
隔壁,next door,隔壁,NOUN
难怪,no wonder,难怪,ADV
预报,forecast,预报,NOUN
领导,leader,领导,NOUN
题目,topic,题目,NOUN
一模一样,exactly the same,一模一样,ADJ
不准,not allowed,不准,ADJ
不对劲,abnormal,不对劲,ADJ
丢人,shameful,丢人,ADJ
丢脸,lose face,丢脸,VERB
主角,protagonist,主角,NOUN
主题,theme,主题,NOUN
之一,one of,之一,NOUN
事实上,in fact,事实上,ADV
保安,security guard,保安,NOUN
做法,practice,做法,NOUN
加入,to join,加入,VERB
口音,accent,口音,NOUN
基本上,basically,基本上,ADV
大胆,bold,大胆,ADJ
提出,put forward,提出,VERB
肯定,affirm,肯定,VERB
证明,prove,证明,VERB
研究,research,研究,VERB
无论,no matter,无论,SCONJ
拜托,please,拜托,VERB
耽误,to delay,耽误,VERB
至于,as for,至于,ADP
观点,viewpoint,观点,NOUN
眼下,present,眼下,NOUN
联合,to unite,联合,VERB
自愿,voluntary,自愿,ADJ
良好,good,良好,ADJ
节省,to save,节省,VERB
苗条,slim,苗条,ADJ
营养,nutrition,营养,NOUN
行为,behavior,行为,NOUN
行人,pedestrian,行人,NOUN
行动,action,行动,NOUN
角度,angle,角度,NOUN
论文,thesis,论文,NOUN
设备,equipment,设备,NOUN
证件,identification,证件,NOUN
证据,evidence,证据,NOUN
语气,tone,语气,NOUN
请求,to request,请求,VERB
调皮,naughty,调皮,ADJ
谜语,riddle,谜语,NOUN
象棋,Chinese chess,象棋,NOUN
账户,account,账户,NOUN
费用,cost,费用,NOUN
资源,resource,资源,NOUN
蹲,to crouch,蹲,VERB
身材,figure,身材,NOUN
转告,to pass on,转告,VERB
轮流,to alternate,轮流,VERB
辅导,to coach,辅导,VERB
输入,to input,输入,VERB
过分,excessive,过分,ADJ
过敏,to be allergic,过敏,VERB
过期,to be overdue,过期,VERB
迎接,to meet,迎接,VERB
进口,to import,进口,VERB
连忙,promptly,连忙,ADV
追求,to pursue,追求,VERB
透明,transparent,透明,ADJ
部门,department,部门,NOUN
采访,to interview,采访,VERB
重量,weight,重量,NOUN
键盘,keyboard,键盘,NOUN
闪电,lightning,闪电,NOUN
闯,rush,闯,VERB
降落,land,降落,VERB
除夕,New Year's Eve,除夕,NOUN
集中,concentrate,集中,VERB
青少年,adolescent,青少年,NOUN
青春,youth,青春,NOUN
面积,area,面积,NOUN
鞭炮,firecracker,鞭炮,NOUN
项目,project,项目,NOUN
预订,to book,预订,VERB
频道,channel,频道,NOUN
风格,style,风格,NOUN
飘,to float,飘,VERB
驾驶,to drive,驾驶,VERB
高速,high-speed,高速,ADJ
麦克风,microphone,麦克风,NOUN
黄金,gold,黄金,NOUN
一向,always,一向,ADV
一团糟,a mess,一团糟,ADJ
一流,first-class,一流,ADJ
上升,to rise,上升,VERB
上天,heaven,上天,NOUN
上瘾,to be addicted,上瘾,VERB
下降,to descend,下降,VERB
不可,cannot,不可,AUX
不幸,unfortunate,不幸,ADJ
不愿,unwilling,不愿,VERB
不成,won't do,不成,VERB
不明,unclear,不明,ADJ
不止,more than,不止,ADV
不肯,refuse,不肯,VERB
不论,no matter,不论,CCONJ
中央,central,中央,ADJ
串,to string together,串,VERB
为止,up to,为止,ADP
主任,director,主任,NOUN
之上,above,之上,ADP
之下,below,之下,ADP
之中,among,之中,ADP
之内,within,之内,ADP
之外,besides,之外,ADP
之类,and so on,之类,NOUN
乐趣,delight,乐趣,NOUN
乐队,band,乐队,NOUN
乡村,countryside,乡村,NOUN
书法,calligraphy,书法,NOUN
买卖,business trade,买卖,NOUN
乱来,to act wildly to act recklessly,乱来,VERB
事业,undertaking,事业,NOUN
事件,event,事件,NOUN
事故,accident,事故,NOUN
井,a well,井,NOUN
交谈,to converse,交谈,VERB
亲手,personally,亲手,ADV
人工,artificial,人工,ADJ
人数,number of people,人数,NOUN
人群,crowd,人群,NOUN
仅,only,仅,ADV
仅仅,only,仅仅,ADV
今后,from now on,今后,ADV
介意,to mind,介意,VERB
仍,still,仍,ADV
从未,never,从未,ADV
付出,to pay,付出,VERB
休假,leave,休假,NOUN
会长,chairman,会长,NOUN
伤害,harm,伤害,VERB
伯母,aunt,伯母,NOUN
佛,Buddha,佛,NOUN
依靠,to rely on,依靠,VERB
侦探,detective,侦探,NOUN
保住,to keep,保住,VERB
保姆,nanny,保姆,NOUN
保密,to keep confidential,保密,VERB
保重,to take care of oneself,保重,VERB
修理,to repair,修理,VERB
偶像,idol,偶像,NOUN
伤害,harm,伤害,NOUN
傻子,fool,傻子,NOUN
元宵节,Lantern Festival,元宵节,NOUN
先进,advanced (technology),先进,ADJ
党,party,党,NOUN
全体,all,全体,NOUN
全力,full power,全力,NOUN
全新,brand new,全新,ADJ
全球,global,全球,NOUN
公安局,public security bureau,公安局,NOUN
关注,to pay attention to,关注,VERB
兼职,part-time job,兼职,NOUN
内心,inner heart,内心,NOUN
内裤,underpants,内裤,NOUN
写作,writing,写作,NOUN
军人,soldier,军人,NOUN
军队,army,军队,NOUN
农历,lunar calendar,农历,NOUN
农场,farm,农场,NOUN
冲动,impulse,冲动,NOUN
创业,to start a business,创业,VERB
创新,innovation,创新,NOUN
别说,let alone,别说,ADV
刹车,to brake,刹车,VERB
前进,to advance,前进,VERB
剧院,theater,剧院,NOUN
副,deputy,副,ADJ
割,to cut,割,VERB
加速,to accelerate,加速,VERB
动手,to start,动手,VERB
助手,assistant,助手,NOUN
助理,assistant,助理,NOUN
包装,to pack,包装,VERB
