Chinese_Lemma,English_Translation,Spanish_Translation,POS
一会儿,a while,un rato,X
一共,altogether,en total,X
一定,surely,seguramente,X
一样,same,igual,X
一直,straight (in a straight line),recto (en línea recta),X
一般,same,general,X
一边,one side,un lado,X
万,ten thousand,diez mil,X
上网,to be on the internet,navegar por internet,X
世界,world,mundo,X
东,east,este,X
中间,between,en medio,X
为了,in order to,para,X
为什么,why?,¿por qué?,X
主要,main,principal,X
举行,to hold (a meeting,celebrar (una reunión,X
久,(long) time,(mucho) tiempo,X
习惯,habit,costumbre,X
了解,to understand,comprender,X
云,cloud,nube,X
以为,to believe,creer,X
以前,before,antes,X
以后,after,después,X
会议,meeting,reunión,X
伞,umbrella,paraguas,X
位,position,posición,X
低,low,bajo,X
体育,sports,deportes,X
作业,school assignment,tarea escolar,X
作用,to act on,actuar sobre,X
使,to make,hacer,X
信,letter,carta,X
借,to lend,prestar,X
健康,health,salud,X
像,to resemble,parecerse a,X
先,early,primero,X
公园,public park,parque,X
关,mountain pass,cerrar,X
关于,pertaining to,sobre,X
关心,to care for sth,preocuparse por algo,X
关系,relationship / relation,relación,X
兴趣,interest (desire to know about sth),interés (deseo de saber sobre algo),X
其他,other,otro,X
其实,actually,en realidad,X
冬,sound of beating a drum,invierno,X
冰箱,icebox,nevera,X
决定,to decide (to do something),decidir (hacer algo),X
几乎,almost,casi,X
出现,to appear,aparecer,X
分,to divide,dividir,X
刚才,(just) a moment ago,hace un momento,X
别人,other people,otras personas,X
刮,to blow (of the wind),soplar (del viento),X
刷,to brush,cepillar,X
刻,quarter (hour),cuarto (de hora),X
办公室,office,oficina,X
办法,means,medio,X
动物,animal,animal,X
努力,great effort,esfuerzo,X
包,to cover,cubrir,X
北方,north,norte,X
半,half,mitad,X
南,south,sur,X
历史,history,historia,X
厨房,kitchen,cocina,X
参加,to participate,participar,X
又,(once) again,(una vez) más,X
双,two,dos,X
发烧,to have a high temperature (from illness),tener fiebre,X
发现,to find,descubrir,X
叔叔,father's younger brother,tío,X
变化,change,cambio,X
口,mouth,boca,X
句子,sentence,oración,X
只,classifier for birds and certain animals,clasificador para aves y ciertos animales,X
可爱,cute / lovely,lindo,X
司机,chauffeur,chófer,X
同事,colleague,colega,X
同意,to agree,estar de acuerdo,X
周末,weekend,fin de semana,X
哭,to cry,llorar,X
啊,modal particle ending sentence,partícula modal al final de la oración,X
啤酒,beer,cerveza,X
国家,country,país,X
图书馆,library,biblioteca,X
地,-ly,-mente,X
地图,map,mapa,X
地方,area,lugar,X
地铁,subway,metro,X
坏,bad,malo,X
城市,city,ciudad,X
声音,voice,voz,X
复习,to review / revise,repasar,X
夏,summer,verano,X
多么,how (wonderful etc),"qué (maravilloso, etc.)",X
太阳,sun,sol,X
头发,hair (on the head),pelo,X
奇怪,strange,extraño,X
奶奶,(informal) grandma (paternal grandmother),abuela,X
如果,if,si,X
字典,dictionary,diccionario,X
季节,time,estación,X
安静,quiet,tranquilo,X
完成,to complete,completar,X
客人,visitor,invitado,X
害怕,to be afraid,tener miedo,X
容易,easy,fácil,X
宾馆,guesthouse,hostal,X
小心,to be careful,tener cuidado,X
层,layer,capa,X
差,to differ from,diferir de,X
带,band,banda,X
帮忙,to help,ayudar,X
帽子,hat,sombrero,X
干净,clean,limpio,X
年级,grade,grado,X
年轻,young,joven,X
应该,ought to,deber,X
当然,only natural,por supuesto,X
影响,an influence,una influencia,X
必须,to have to,tener que,X
忘记,to forget,olvidar,X
总是,always,siempre,X
感冒,to catch cold,resfriarse,X
愿意,to wish,desear,X
成绩,achievement,resultado,X
或者,or,o,X
才,a moment ago,hace un momento,X
打扫,to clean,limpiar,X
打算,to plan,planear,X
把,to hold,sostener,X
护照,passport,pasaporte,X
担心,anxious,preocupado,X
拿,to hold,tomar,X
换,to change,cambiar,X
接,to receive,recibir,X
提高,to raise,elevar,X
搬,to move,mudar,X
放,to release,soltar,X
放心,to feel relieved,estar tranquilo,X
故事,narrative,cuento,X
教,to teach,enseñar,X
敢,to dare,atreverse,X
数学,mathematics,matemáticas,X
文化,culture,cultura,X
新闻,news,noticias,X
新鲜,fresh (experience,fresco (experiencia,X
方便,convenient,conveniente,X
旧,old,viejo,X
明白,clear,claro,X
春,spring (time),primavera,X
普通话,Mandarin (common language),mandarín (lengua común),X
更,more,más,X
最近,recent,reciente,X
月亮,moon,luna,X
有名,famous,famoso,X
机会,opportunity,oportunidad,X
条,strip,tira,X
极,extremely,extremadamente,X
果汁,fruit juice,jugo de fruta,X
树,tree,árbol,X
校长,(college,director (de centro),X
根据,according to,según,X
检查,inspection,inspección,X
楼,house with more than 1 story,edificio,X
段,paragraph,párrafo,X
比赛,competition (sports etc),"competición (deportiva, etc.)",X
比较,to compare,comparar,X
水平,level (of achievement etc),"nivel (de logro, etc.)",X
河,river,río,X
注意,to take note of,prestar atención a,X
洗手间,toilet,aseo,X
洗澡,to bathe,bañarse,X
清楚,clear,claro,X
渴,thirsty,sediento,X
游戏,game,juego,X
满意,satisfied,satisfecho,X
灯,lamp,lámpara,X
热情,warm / enthusiastic,cordial / entusiasta,X
然后,after,después,X
照片,photograph,fotografía,X
照相机,camera,cámara,X
照顾,to take care of,cuidar de,X
熊猫,panda,panda,X
爬山,to climb a mountain,escalar una montaña,X
爱好,to like,gustar,X
爷爷,(informal) father's father,abuelo,X
特别,especially,especialmente,X
环境,environment,entorno,X
班,team,equipo,X
甜,sweet,dulce,X
生气,angry,enfadado,X
用,to use,usar,X
电子,electronic,electrónico,X
电梯,elevator,ascensor,X
画,to draw,dibujar,X
疼,(it) hurts,doler,X
瘦,thin,delgado,X
盘子,tray,plato,X
相信,to be convinced (that sth is true),creer (que algo es cierto),X
相同,identical,idéntico,X
眼镜,spectacles,gafas,X
着急,to worry,preocuparse,X
短,short or brief,corto,X
矮,low,bajo,X
碗,bowl,cuenco,X
礼物,gift,regalo,X
祝,to wish,desear,X
离开,to depart,marcharse,X
秋,a swing,otoño,X
种,abbr. for 物種|物种,especie,X
空调,air conditioning,aire acondicionado,X
突然,sudden,repentino,X
站,station,estación,X
筷子,chopsticks,palillos,X
简单,simple,sencillo,X
米,rice,arroz,X
糖,sugar,azúcar,X
练习,exercise,ejercicio,X
终于,at last,por fin,X
经常,day to day,a menudo,X
经理,manager,gerente,X
经过,to pass,pasar,X
结婚,to marry,casarse,X
结束,termination,terminar,X
绿,green,verde,X
老,old,viejo,X
而且,(not only ...) but also,sino también,X
耳朵,ear,oreja,X
聪明,acute (of sight and hearing),inteligente,X
胖,fat,gordo,X
脚,foot,pie,X
脸,face,cara,X
腿,leg,pierna,X
自己,oneself,uno mismo,X
舒服,comfortable,cómodo,X
节日,holiday,festividad,X
节目,program,programa,X
花,flower,flor,X
花园,garden,jardín,X
草,grass,hierba,X
菜单,menu,menú,X
葡萄,grape,uva,X
蓝,blue,azul,X
虽然,although,aunque,X
蛋糕,cake,pastel,X
行李箱,suitcase,maleta,X
街道,street,calle,X
表演,play,representación,X
表示,to express,expresar,X
衬衫,shirt,camisa,X
被,quilt,colcha,X
裙子,skirt,falda,X
裤子,trousers,pantalones,X
西,west,oeste,X
要求,to request,pedir,X
见面,to meet,reunirse,X
角,angle,esquina,X
解决,to settle (a dispute),resolver (una disputa),X
认为,to believe,creer,X
认真,conscientious,aplicado,X
记得,to remember,recordar,X
讲,to speak,hablar,X
词语,word (general term including monosyllables through to short phrases),palabra (término general),X
超市,supermarket (abbr.),supermercado,X
越,to exceed,exceder,X
跟,heel,talón,X
辆,classifier for vehicles,clasificador para vehículos,X
过去,(in the) past,(en el) pasado,X
还是,or,o,X
迟到,to arrive late,llegar tarde,X
选择,to select,elegir,X
遇到,to meet,encontrarse con,X
邻居,neighbor,vecino,X
重要,important,importante,X
铅笔,(lead) pencil,lápiz,X
银行,bank,banco,X
锻炼,to engage in physical exercise,hacer ejercicio,X
阿姨,maternal aunt,tía (materna),X
附近,(in the) vicinity,cerca,X
除了,besides,además de,X
