lang,level,sample_index,csv_line,lemma,english_lemma,chinese_lemma,upos,verdict,notes
fr,B2,1,446,dol,fraud,欺诈,NOUN,keep,clean
fr,B2,2,1604,soi,oneself,自己,PRON,keep,clean
fr,B2,3,484,déficit,deficit,赤字,NOUN,keep,clean
fr,B2,4,717,gouvernance,governance,治理,NOUN,keep,clean
fr,B2,5,1384,réchauffement,warming,变暖,NOUN,keep,clean
fr,B2,6,444,doctorat,doctorate,博士学位,NOUN,keep,clean
fr,B2,7,875,isolement,isolation,孤立,NOUN,keep,clean
fr,B2,8,1538,selle,saddle,马鞍,NOUN,keep,clean
fr,B2,9,1532,secrétariat,secretariat,秘书处,NOUN,keep,clean
fr,B2,10,1295,quoique,although,虽然,SCONJ,keep,clean
fr,B2,11,1555,sept,seven,七,NUM,keep,clean
fr,B2,12,765,homosexualité,homosexuality,同性恋,NOUN,keep,clean
fr,B2,13,1630,son,his,他的,DET,keep,clean
fr,B2,14,1556,septième,seventh,第七,ADJ,keep,clean
fr,B2,15,1495,sans,without,没有,ADP,keep,clean
fr,B2,16,162,bibliographie,bibliography,参考书目,NOUN,keep,clean
fr,B2,17,1191,polyvalence,versatility,多功能性,NOUN,keep,clean
fr,B2,18,646,faune,fauna,动物群,NOUN,keep,clean
fr,B2,19,1413,réjouir,to rejoice,使高兴,VERB,keep,clean
fr,B2,20,780,hélas,alas,唉,INTJ,keep,clean
fr,B2,21,254,cinquantaine,about fifty,五十左右,NOUN,keep,clean
fr,B2,22,1358,revendiquer,claim,要求,VERB,keep,clean
fr,B2,23,1704,substantiellement,substantially,实质上,ADV,keep,clean
fr,B2,24,211,causalité,causality,因果关系,NOUN,keep,clean
