French_Lemma,English_Lemma,Chinese_Lemma,POS
empiéter,to encroach,侵占,VERB
employabilité,employability,就业能力,NOUN
empreinte,imprint,印记,NOUN
empresser,to press,催促,VERB
emprise,hold,控制,NOUN
emprisonnement,imprisonment,监禁,NOUN
enchère,bid,出价,NOUN
endettement,indebtedness,负债,NOUN
endiguer,to stem,遏制,VERB
endémique,endemic,地方性的,ADJ
enfouir,to bury,埋藏,VERB
enfreindre,to infringe,违反,VERB
engin,device,装置,NOUN
engloutir,to swallow up,吞没,VERB
enlèvement,kidnapping,绑架,NOUN
enrayer,to curb,制止,VERB
entente,understanding,谅解,NOUN
entité,entity,实体,NOUN
entrevoir,to glimpse,瞥见,VERB
entrevue,interview,会见,NOUN
envergure,scope,规模,NOUN
errer,to wander,漫游,VERB
esclavage,slavery,奴隶制,NOUN
espionnage,espionage,间谍活动,NOUN
essorer,to wring,拧干,VERB
ethnique,ethnic,种族的,ADJ
exacerber,to exacerbate,加剧,VERB
excédent,surplus,盈余,NOUN
exhaustif,exhaustive,详尽的,ADJ
exigence,requirement,要求,NOUN
exil,exile,流放,NOUN
exploit,feat,壮举,NOUN
exportation,export,出口,NOUN
exproprier,to expropriate,征收,VERB
externalisation,outsourcing,外包,NOUN
extraire,to extract,提取,VERB
extrémité,end,末端,NOUN
faille,flaw,缺陷,NOUN
faune,fauna,动物群,NOUN
ferroviaire,railway,铁路的,ADJ
filiale,subsidiary,子公司,NOUN
filière,sector,行业,NOUN
firme,firm,公司,NOUN
fiscalité,taxation,税收制度,NOUN
flanc,flank,侧面,NOUN
flore,flora,植物群,NOUN
fondement,foundation,基础,NOUN
forteresse,fortress,堡垒,NOUN
fosse,pit,坑,NOUN
fossile,fossil,化石,NOUN
fossé,ditch,沟渠,NOUN
fouille,excavation,挖掘,NOUN
fragiliser,to weaken,削弱,VERB
franchise,frankness,坦率,NOUN
francophonie,French-speaking world,法语国家组织,NOUN
fraude,fraud,欺诈,NOUN
fréquentation,attendance,出勤,NOUN
funérailles,funeral,葬礼,NOUN
fusillade,shooting,枪击,NOUN
gouvernance,governance,治理,NOUN
gouvernemental,governmental,政府的,ADJ
grandeur,greatness,伟大,NOUN
groupement,grouping,集团,NOUN
générationnel,generational,代际的,ADJ
hormis,except for,除了,ADP
hétérogène,heterogeneous,异质的,ADJ
idéalisme,idealism,理想主义,NOUN
illustre,illustrious,杰出的,ADJ
imposition,taxation,征税,NOUN
impérial,imperial,帝国的,ADJ
inculpation,indictment,起诉,NOUN
indemnité,compensation,赔偿,NOUN
indigène,indigenous,土著的,ADJ
indissociable,inseparable,不可分割的,ADJ
indépendamment,independently,独立地,ADV
ingénierie,engineering,工程学,NOUN
inhérent,inherent,固有的,ADJ
insidieux,insidious,阴险的,ADJ
insinuer,to insinuate,暗示,VERB
intentionnellement,intentionally,故意地,ADV
intransigeant,uncompromising,不妥协的,ADJ
intégrité,integrity,正直,NOUN
jadis,formerly,从前,ADV
jouir,to enjoy,享受,VERB
juguler,to curb,遏制,VERB
justesse,accuracy,准确性,NOUN
laxiste,lax,放纵的,ADJ
laïcité,secularism,世俗主义,NOUN
liquidité,liquidity,流动性,NOUN
localité,locality,地点,NOUN
loge,dressing room,化妆间,NOUN
légion,legion,军团,NOUN
législatif,legislative,立法的,ADJ
légitimité,legitimacy,合法性,NOUN
magistral,masterly,大师级的,ADJ
magistrat,magistrate,法官,NOUN
majesté,majesty,陛下,NOUN
marginalisation,marginalization,边缘化,NOUN
matérialisme,materialism,唯物主义,NOUN
mitigé,mixed,喜忧参半的,ADJ
modalité,modality,方式,NOUN
monétaire,monetary,货币的,ADJ
municipalité,municipality,市镇,NOUN
médiation,mediation,调解,NOUN
méritocratie,meritocracy,精英管理,NOUN
méticuleux,meticulous,一丝不苟的,ADJ
narcissisme,narcissism,自恋,NOUN
nationaliser,to nationalize,国有化,VERB
normalisation,standardization,标准化,NOUN
notoriété,fame,名声,NOUN
nuancer,to nuance,使具有细微差别,VERB
obscurantisme,obscurantism,蒙昧主义,NOUN
pallier,to remedy,弥补,VERB
paradigme,paradigm,范式,NOUN
partial,biased,偏袒的,ADJ
pathétique,pathetic,可怜的,ADJ
perspicace,perceptive,敏锐的,ADJ
pertinence,relevance,相关性,NOUN
philanthropie,philanthropy,慈善,NOUN
piraterie,piracy,海盗行为,NOUN
planification,planning,规划,NOUN
plébiscite,plebiscite,全民公决,NOUN
pragmatisme,pragmatism,实用主义,NOUN
pronostic,prognosis,预测,NOUN
protectionnisme,protectionism,保护主义,NOUN
prédominant,predominant,占主导地位的,ADJ
préface,preface,序言,NOUN
préjudice,harm,损害,NOUN
prélèvement,levy,提取,NOUN
péninsule,peninsula,半岛,NOUN
pérenne,perennial,持久的,ADJ
pérenniser,to make lasting,使持久,VERB
péril,peril,危险,NOUN
quiconque,whoever,任何人,PRON
racket,racketeering,敲诈勒索,NOUN
rationalisation,rationalization,合理化,NOUN
raviver,to revive,复兴,VERB
recensement,census,人口普查,NOUN
renommée,renown,名声,NOUN
rentabilité,profitability,盈利能力,NOUN
rhétorique,rhetoric,修辞,NOUN
règne,reign,统治,NOUN
rébellion,rebellion,反叛,NOUN
réfuter,to refute,反驳,VERB
réjouissant,heartening,令人高兴的,ADJ
rémunération,remuneration,报酬,NOUN
répression,repression,镇压,NOUN
résiliation,termination,解除,NOUN
révolu,bygone,过去的,ADJ
sanctuaire,sanctuary,圣所,NOUN
saper,to undermine,破坏,VERB
scrupuleusement,scrupulously,一丝不苟地,ADV
scrupuleux,scrupulous,一丝不苟的,ADJ
scrutin,ballot,投票,NOUN
sigle,acronym,首字母缩略词,NOUN
sournois,sly,狡猾的,ADJ
sous-traitance,subcontracting,分包,NOUN
stagner,to stagnate,停滞,VERB
stigmatisation,stigmatization,污名化,NOUN
stigmatiser,to stigmatize,污名化,VERB
stoïcisme,stoicism,斯多葛主义,NOUN
subventionner,to subsidize,资助,VERB
éblouir,to dazzle,使目眩,VERB
écouler,to sell,销售,VERB
émaner,to emanate,源自,VERB
étourdir,to stun,使眩晕,VERB
acclimatation,acclimatization,适应环境,NOUN
acheminement,conveyance,运送,NOUN
acquitter,to acquit,宣告无罪,VERB
agencer,to arrange,布置,VERB
amoindrir,to diminish,减少,VERB
amputer,to amputate,截肢,VERB
annoter,to annotate,注释,VERB
aplanir,to smooth,消除障碍,VERB
apparier,to match,配对,VERB
archevêque,archbishop,大主教,NOUN
archétype,archetype,原型,NOUN
artillerie,artillery,炮兵,NOUN
assaillir,to assault,猛攻,VERB
assainir,to clean up,净化,VERB
asservissement,enslavement,奴役,NOUN
atterrer,to appal,使惊愕,VERB
attirail,gear,装备,NOUN
avaliser,to endorse,背书,VERB
barricader,to barricade,设路障,VERB
brassage,mixing,混合,NOUN
candide,naive,天真的,ADJ
catégorisation,categorization,分类,NOUN
cautionner,to endorse,担保,VERB
ciblage,targeting,定位,NOUN
circonscription,constituency,选区,NOUN
circonscrire,to circumscribe,限定,VERB
circonspect,circumspect,谨慎的,ADJ
classicisme,classicism,古典主义,NOUN
clergé,clergy,神职人员,NOUN
comportemental,behavioral,行为的,ADJ
concomitamment,concomitantly,同时地,ADV
concourir,to contribute,协助,VERB
constance,constancy,坚定,NOUN
consumer,to consume,消耗,VERB
consumériste,consumerist,消费者主义的,ADJ
consécutivement,consecutively,连续地,ADV
