csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
2,natuur,nature,自然,NOUN,nl,B1,1,keep,clean
42,finale,final,决赛,NOUN,nl,B1,2,keep,clean
70,bewoner,resident,居民,NOUN,nl,B1,3,keep,clean
72,keren,to turn,转身,VERB,nl,B1,4,keep,clean
73,maat,size,尺寸,NOUN,nl,B1,5,keep,clean
100,beroep,profession,职业,NOUN,nl,B1,6,keep,clean
104,geweld,violence,暴力,NOUN,nl,B1,7,keep,clean
127,laag,low,低的,ADJ,nl,B1,8,keep,clean
143,buitenland,abroad,国外,NOUN,nl,B1,9,keep,clean
220,bloed,blood,血,NOUN,nl,B1,10,keep,clean
235,totaal,total,总的,ADJ,nl,B1,11,keep,clean
255,werkelijk,really,真正地,ADV,nl,B1,12,keep,clean
262,interesse,interest,兴趣,NOUN,nl,B1,13,keep,clean
265,laatst,last,最近的,ADJ,nl,B1,14,keep,clean
281,boot,boat,船,NOUN,nl,B1,15,keep,clean
286,getrouwd,married,已婚的,ADJ,nl,B1,16,keep,clean
325,flink,considerable,相当大的,ADJ,nl,B1,17,keep,clean
415,behoefte,need,需求,NOUN,nl,B1,18,keep,clean
423,profiel,profile,个人资料,NOUN,nl,B1,19,keep,clean
427,tas,bag,包,NOUN,nl,B1,20,keep,clean
450,been,leg,腿,NOUN,nl,B1,21,keep,clean
467,publiek,public,公共的,ADJ,nl,B1,22,keep,clean
488,Spaans,Spanish,西班牙的,ADJ,nl,B1,23,keep,clean
515,namens,on behalf of,代表,ADP,nl,B1,24,keep,clean
