csv_line,lemma,english_lemma,chinese_lemma,upos,lang,level,sample_index,verdict,notes
31,answer,answer,回答,NOUN
56,believe,believe,相信,VERB
99,clean,clean,干净的,ADJ
114,crazy,crazy,疯狂的,ADJ
135,drink,drink,喝,VERB
145,end,end,结束,NOUN
251,if,if,如果,SCONJ
273,least,least,最少的,ADJ
291,loss,loss,损失,NOUN
307,meeting,meeting,会议,NOUN
316,moment,moment,时刻,NOUN
317,money,money,钱,NOUN
338,nobody,nobody,没有人,PRON
345,okay,okay,好的,ADJ
391,rather,rather,相当,ADV
399,release,release,释放,VERB
457,sound,sound,声音,NOUN
481,table,table,桌子,NOUN
508,tired,tired,疲倦的,ADJ
509,to,to,到,ADP
517,touch,touch,触摸,VERB
518,town,town,城镇,NOUN
553,which,which,哪一个,PRON
575,would,would,将要,AUX
8,address,address,地址,NOUN
24,army,army,军队,NOUN
60,board,board,板,NOUN
67,brain,brain,大脑,NOUN
164,double,double,两倍的,ADJ
207,feed,feed,喂养,VERB
225,forgive,forgive,原谅,VERB
228,further,further,进一步的,ADJ
238,grab,grab,抓,VERB
241,green,green,绿色,NOUN
249,heading,heading,标题,NOUN
378,planet,planet,行星,NOUN
402,proof,proof,证据,NOUN
414,raincoat,raincoat,雨衣,NOUN
423,regret,regret,后悔,VERB
424,relax,relax,放松,VERB
440,sake,sake,缘故,NOUN
448,secret,secret,秘密,NOUN
452,seven,seven,七,NUM
468,slow,slow,慢的,ADJ
487,strength,strength,力量,NOUN
500,surprise,surprise,惊喜,NOUN
514,tight,tight,紧的,ADJ
546,weight,weight,重量,NOUN
11,affair,affair,事务,NOUN
16,alcohol,alcohol,酒精,NOUN
37,arrive,arrive,到达,VERB
52,authority,authority,权威,NOUN
78,bleed,bleed,出血,VERB
135,childhood,childhood,童年,NOUN
154,coat,coat,外套,NOUN
190,crack,crack,裂缝,NOUN
243,dirt,dirt,污垢,NOUN
316,financial,financial,财务的,ADJ
340,fuel,fuel,燃料,NOUN
409,inform,inform,通知,VERB
416,intend,intend,打算,VERB
438,land,land,着陆,VERB
512,nonsense,nonsense,胡说,NOUN
552,percent,percent,百分比,NOUN
575,poison,poison,毒药,NOUN
638,respond,respond,回应,VERB
650,romantic,romantic,浪漫的,ADJ
683,setting,setting,背景,NOUN
684,settle,settle,解决,VERB
821,tradition,tradition,传统,NOUN
843,universe,universe,宇宙,NOUN
850,vacation,vacation,假期,NOUN
132,advertise,advertise,做广告,VERB
170,agonize,agonize,感到痛苦,VERB
178,album,album,相册,NOUN
194,amuse,amuse,逗乐,VERB
202,anonymous,anonymous,匿名的,ADJ
346,cabinet,cabinet,内阁,NOUN
464,consent,consent,同意,NOUN
475,context,context,上下文,NOUN
511,cricket,cricket,板球,NOUN
535,debate,debate,辩论,NOUN
593,discovery,discovery,发现,NOUN
784,freezing,freezing,极冷的,ADJ
894,humiliating,humiliating,令人羞辱的,ADJ
991,lamp,lamp,灯,NOUN
1021,liberty,liberty,自由,NOUN
1187,pencil,pencil,铅笔,NOUN
1204,photographer,photographer,摄影师,NOUN
1341,reference,reference,参考,NOUN
1424,satisfaction,satisfaction,满意,NOUN
1435,scatter,scatter,分散,VERB
1468,shell,shell,壳,NOUN
1618,testify,testify,作证,VERB
1705,verdict,verdict,裁决,NOUN
1730,warden,warden,看守人,NOUN
141,apportion,apportion,分配,VERB
218,assimilation,assimilation,同化,NOUN
494,braid,braid,辫子,NOUN
561,burgle,burgle,入室行窃,VERB
706,coarse,coarse,粗糙的,ADJ
799,console,console,安慰,VERB
891,crisp,crisp,酥脆的,ADJ
1107,destine,destine,注定,VERB
1372,effervesce,effervesce,起泡,VERB
1486,enrage,enrage,激怒,VERB
1685,federalize,federalize,使联邦化,VERB
2077,incentive,incentive,激励,NOUN
2208,laborious,laborious,费力的,ADJ
2413,negotiation,negotiation,谈判；协商,NOUN
2427,nominal,nominal,名义上的,ADJ
2621,persecution,persecution,迫害,NOUN
2684,ponderous,ponderous,笨重的,ADJ
2764,prohibitive,prohibitive,昂贵的,ADJ
2956,reparation,reparation,赔偿,NOUN
2971,reprieve,reprieve,暂缓执行,NOUN
3266,sparkle,sparkle,闪耀,VERB
3414,surmise,surmise,推测,VERB
