Arabic_Lemma,English_Lemma,Chinese_Lemma,POS
بلاغ,official statement,官方声明,NOUN
استطلاع,poll,民意调查,NOUN
اقتراع,voting,投票,NOUN
ائتلاف,coalition,联盟,NOUN
فضيحة,scandal,丑闻,NOUN
معاهدة,treaty,条约,NOUN
نزاع,conflict,冲突,NOUN
تهريب,smuggling,走私,NOUN
تصعيد,escalation,升级,NOUN
وساطة,mediation,调解,NOUN
رقابة,censorship,审查,NOUN
إشاعة,rumor,谣言,NOUN
انقلاب,coup,政变,NOUN
حصار,siege,围困,NOUN
مؤامرة,conspiracy,阴谋,NOUN
جاسوس,spy,间谍,NOUN
مبعوث,envoy,特使,NOUN
غزو,invasion,入侵,NOUN
قصف,bombing,轰炸,NOUN
والي,governor,省长,NOUN
تضخم,inflation,通货膨胀,NOUN
مقاولة,enterprise,企业,NOUN
بورصة,stock exchange,证券交易所,NOUN
عجز,deficit,赤字,NOUN
مدخول,income,收入,NOUN
طلبية,order,订单,NOUN
مورد,supplier,供应商,NOUN
رأسمال,capital,资本,NOUN
مخزون,inventory,库存,NOUN
إفلاس,bankruptcy,破产,NOUN
نسيج,textile,纺织,NOUN
انتعاش,recovery,复苏,NOUN
إحصاء,statistics,统计,NOUN
وفرة,abundance,丰富,NOUN
ازدهار,prosperity,繁荣,NOUN
حصيلة,outcome,结果,NOUN
إيداع,deposit,存款,NOUN
كَفِيل,guarantor,担保人,NOUN
قِسْط,installment,分期付款,NOUN
عُمُولَة,commission,佣金,NOUN
اعْتِمَاد,credit,信用,NOUN
تَسْدِيد,repayment,还款,NOUN
سَدَّدَ,to repay,偿还,VERB
مُؤَمَّن,insured,被保险人,NOUN
مَعاش,pension,养老金,NOUN
ادِّخَار,savings,积蓄,NOUN
تَجْمِيد,freezing,冻结,NOUN
تَقْسِيط,installment plan,分期付款,NOUN
مُسْتَفِيد,beneficiary,受益人,NOUN
تدقيق,audit,审计,NOUN
تدفق,flow,流动,NOUN
إعفاء,exemption,豁免,NOUN
تهرب,evasion,逃避,NOUN
إلزامي,mandatory,强制的,ADJ
تسعيرة,tariff,费率,NOUN
معاينة,inspection,检查,NOUN
نيابة,prosecution,公诉,NOUN
اختطاف,kidnapping,绑架,NOUN
تحرش,harassment,骚扰,NOUN
إدانة,conviction,定罪,NOUN
براءة,acquittal,无罪释放,NOUN
استدعاء,summons,传票,NOUN
إنكار,denial,否认,NOUN
دعوى,lawsuit,诉讼,NOUN
توثيق,notarization,公证,NOUN
إرث,inheritance,遗产,NOUN
وريث,heir,继承人,NOUN
وصية,will,遗嘱,NOUN
حضانة,custody,监护权,NOUN
قاصر,minor,未成年人,NOUN
بند,clause,条款,NOUN
ترحيل,deportation,驱逐出境,NOUN
تزوير,forgery,伪造,NOUN
جنائي,criminal,刑事的,ADJ
إعدام,death penalty,死刑,NOUN
معتقل,detainee,被拘留者,NOUN
احتجاز,detention,拘留,NOUN
رهينة,hostage,人质,NOUN
مسودة,draft,草案,NOUN
إنتاجية,productivity,生产力,NOUN
تدبير,management,管理,NOUN
تسيير,management,管理,NOUN
اجتهاد,diligence,勤奋,NOUN
انضباط,discipline,纪律,NOUN
أجير,employee,雇员,NOUN
نقابي,unionist,工会成员,ADJ
تحفيز,motivation,激励,NOUN
ملتقى,forum,论坛,NOUN
مردود,yield,收益,NOUN
احتراف,professionalism,专业性,NOUN
تكليف,assignment,任务,NOUN
تصنيف,classification,分类,NOUN
إدماج,integration,融合,NOUN
تأهيل,qualification,资格,NOUN
عقار,real estate,房地产,NOUN
عقاري,real estate,房地产的,ADJ
مؤجر,landlord,房东,NOUN
مستأجر,tenant,租户,NOUN
بقعة,plot of land,地块,NOUN
ضاحية,suburb,郊区,NOUN
ساكنة,population,人口,NOUN
عتبة,threshold,门槛,NOUN
سياج,fence,栅栏,NOUN
قبو,basement,地下室,NOUN
عزل,insulation,隔热,NOUN
تسريب,leak,泄漏,NOUN
هدم,demolition,拆除,NOUN
انهيار,collapse,倒塌,NOUN
رقمنة,digitization,数字化,NOUN
اختراق,hacking,黑客攻击,NOUN
معلوميات,informatics,信息学,NOUN
عطب,breakdown,故障,NOUN
مهر,dowry,聘礼,NOUN
خصام,quarrel,争吵,NOUN
مصالحة,reconciliation,和解,NOUN
شيخوخة,old age,老年,NOUN
انتماء,belonging,归属感,NOUN
اندماج,integration,融合,NOUN
قرابة,kinship,亲属关系,NOUN
إحسان,charity,慈善,NOUN
تعزية,condolence,慰问,NOUN
قطيعة,estrangement,决裂,NOUN
نخبة,elite,精英,NOUN
ذهنية,mentality,心态,NOUN
حرمان,deprivation,剥夺,NOUN
إعاقة,disability,残疾,NOUN
تعايش,coexistence,共存,NOUN
تنمر,bullying,欺凌,NOUN
احتقار,contempt,轻视,NOUN
مجاملة,courtesy,礼貌,NOUN
عتاب,reproach,责备,NOUN
