Arabic_Lemma,English_Lemma,Chinese_Lemma,POS
آنسة,miss,小姐,NOUN
خَصْم,discount,折扣,NOUN
أرملة,widow,寡妇,NOUN
عازب,single,单身的,ADJ
خمن,to guess,猜测,VERB
مربوط,frugal,节俭的,ADJ
تحلية,dessert,甜点,NOUN
نكهة,flavor,味道,NOUN
طعم,bait,鱼饵,NOUN
أنيق,elegant,优雅的,ADJ
رَجِيم,diet,节食,NOUN
مزاح,joking,开玩笑,NOUN
منديل,handkerchief,手帕,NOUN
قشرة,peel,皮,NOUN
تدليك,massage,按摩,NOUN
طاهي,cook,厨师,NOUN
طهى,to cook,烹饪,VERB
مدهش,amazing,令人惊叹的,ADJ
مذهل,stunning,令人震惊的,ADJ
مزح,to joke,玩笑,VERB
إيصال,receipt,收据,NOUN
سياج,fence,栅栏,NOUN
قبو,basement,地下室,NOUN
ضمادة,bandage,绷带,NOUN
جرثومة,germ,病菌,NOUN
جفن,eyelid,眼睑,NOUN
انحنى,to bend,弯腰,VERB
تتبيلة,marinade,腌料,NOUN
صنارة,fishing rod,钓竿,NOUN
محار,oysters,牡蛎,NOUN
بحارة,sailors,水手,NOUN
سباك,plumber,水管工,NOUN
سباكة,plumbing,管道工程,NOUN
حصير,mat,席子,NOUN
مرجان,coral,珊瑚,NOUN
قش,straw,稻草,NOUN
تبن,hay,干草,NOUN
رذاذ,drizzle,毛毛雨,NOUN
فتات,crumbs,面包屑,NOUN
تثاءب,yawn,打哈欠,VERB
تنهد,sigh,叹气,VERB
فرك,rub,摩擦,VERB
غمس,dip,浸,VERB
رَكَلَ,kick,踢,VERB
مرأب,garage,,NOUN
لثة,gum,牙龈,NOUN
ببغاء,parrot,,NOUN
مُهَنْدِس,engineer,工程师,NOUN
بطل,hero / champion,英雄 / 冠军,NOUN
مشاعر,feelings / emotions,情感 / 感受,NOUN
مليء,full / packed,充满的,ADJ
عجيب,strange / marvelous,奇妙的 / 奇怪的,ADJ
كسب,to earn / gain,赢得 / 赚取,VERB
مقابل,in exchange for / opposite,对面 / 报酬,NOUN
مرح,joy / fun,欢乐 / 愉快,NOUN
جمهورية,republic,共和国,NOUN
نفق,tunnel,隧道,NOUN
شرط,condition,条件,NOUN
إيجار,lease,租赁,NOUN
قَانُون,law,法律,NOUN
مَسْدُود,blocked,堵塞的,ADJ
جذر,root,根,NOUN
بذرة,seed,种子,NOUN
رطوبة,humidity,湿度,NOUN
دفء,warmth,温暖,NOUN
عيب,defect,缺陷,NOUN
فاق,to recover,苏醒,VERB
قبض,to grab,抓住,VERB
اختبأ,to hide,隐藏,VERB
حقق,to achieve,实现,VERB
مرشد,guide,导游,NOUN
وجهة,destination,目的地,NOUN
مخيم,camp,营地,NOUN
أمتعة,luggage,行李,NOUN
تلفريك,cable car,缆车,NOUN
منتجع,resort,度假村,NOUN
شاليه,chalet,小木屋,NOUN
مظلة,parasol,遮阳伞,NOUN
غطس,diving,潜水,NOUN
استكشف,explore,探索,VERB
ضيافة,hospitality,好客,NOUN
واحة,oasis,绿洲,NOUN
مغامرة,adventure,冒险,NOUN
إقلاع,takeoff,起飞,NOUN
استعلامات,information desk,问询处,NOUN
صومعة,minaret,宣礼塔,NOUN
ضريح,mausoleum,陵墓,NOUN
بازار,bazaar,集市,NOUN
تذكار,souvenir,纪念品,NOUN
تخييم,camping,露营,NOUN
بوصلة,compass,指南针,NOUN
عبارة,ferry,渡轮,NOUN
تيرمينال,terminal,航站楼,NOUN
إشهار,advertising,广告业,NOUN
مذيع,presenter,播音员,NOUN
تصفيق,applause,掌声,NOUN
كوميدي,comedian,喜剧演员,NOUN
ترفيه,entertainment,娱乐,NOUN
