Arabic_Lemma,English_Lemma,Chinese_Lemma,POS
باطل,false,错误的,ADJ
تفتيش,inspection,检查,NOUN
جفاف,drought,干旱,NOUN
حبس,imprisonment,监禁,NOUN
حدودية,border,边界的,ADJ
سلاح,weapon,武器,NOUN
عدل,justice,正义,NOUN
قَاضٍ,judge,法官,NOUN
محكمة,court,法院,NOUN
نشيد,anthem,赞歌,NOUN
ائتمان,credit,信用,NOUN
قبيلة,tribe,部落,NOUN
سخر,to mock,嘲笑,VERB
تخاصم,to quarrel,争吵,VERB
تلف,to get lost,迷路,VERB
تاب,to repent,悔悟,VERB
أعلن,to announce,宣布,VERB
بلغ,to inform,通知,VERB
راسل,to correspond,通信,VERB
هدّد,to threaten,威胁,VERB
أنذر,to warn,警告,VERB
قاوم,to resist,抵抗,VERB
هاجم,to attack,攻击,VERB
وثق,to trust,信任,VERB
بل,rather,而是,CCONJ
ألا,lest,以免,SCONJ
لعنة,curse,诅咒,NOUN
ملهى,entertainment venue,娱乐场所 / 夜总会,NOUN
جوي,aerial,空中的,ADJ
رحيل,departure,离去,NOUN
مؤتمر,conference,会议,NOUN
سهل,plain,平原,NOUN
قمة,summit,峰会,NOUN
خليج,gulf,海湾,NOUN
خطاب,speech,演讲,NOUN
محتوى,content,内容,NOUN
مؤسسة,institution,机构,NOUN
انقراض,extinction,灭绝,NOUN
حيثما,wherever,无论何处,ADV
كيفما,however,无论怎样,ADV
عَيَّرَ,to insult,侮辱,VERB
وَالَفَ,to get used to,习惯于,VERB
اتفاقية,agreement,协议,NOUN
معقد,complicated,复杂的,ADJ
بيان,statement,声明,NOUN
مراسل,correspondent,通讯员,NOUN
فهرس,index,索引,NOUN
مبدأ,principle,原则,NOUN
نظرية,theory,理论,NOUN
معضلة,dilemma,困境,NOUN
رأس المال,capital,资本,NOUN
استثمار,investment,投资,NOUN
طيلة,throughout,在...期间 / 贯穿,ADP
أرجح,more likely,更可能的,ADJ
ثمل,drunkenness,醉酒 / 醉的,NOUN
ٱنقراض,extinction,灭绝,NOUN
بضع,a few,几个 / 一些,NOUN
صدد,process / context,关于 / 在...过程中,NOUN
بالى,to care / heed,在乎 / 介意,VERB
حفري,fossil / excavated,化石的 / 挖掘的,ADJ
كف,to cease / refrain,停止 / 抑制,VERB
وشك,verge / imminence,临近,NOUN
خشي,to fear,害怕 / 畏惧,VERB
حظي,to obtain / enjoy,获得 / 享有,VERB
صحفي,journalist,记者,NOUN
نشرة,news bulletin,新闻简报,NOUN
عاجل,urgent,紧急的,ADJ
مصدر,source,来源,NOUN
حوار,dialogue,对话,NOUN
تقرير,report,报告,NOUN
حملة,campaign,运动,NOUN
حزب,political party,政党,NOUN
برلمان,parliament,议会,NOUN
نائب,deputy,代表,NOUN
أزمة,crisis,危机,NOUN
إصلاح,reform,改革,NOUN
نفى,to deny,否认,VERB
أكد,to confirm,确认,VERB
صرح,to declare,声明,VERB
سفير,ambassador,大使,NOUN
هجرة,migration,移民,NOUN
مهاجر,migrant,移民,NOUN
إنقاذ,rescue,救援,NOUN
إسعاف,first aid,急救,NOUN
تطور,development,发展,NOUN
زعيم,leader,领袖,NOUN
حرية,freedom,自由,NOUN
جيش,army,军队,NOUN
منظمة,organization,组织,NOUN
هيئة,commission,委员会,NOUN
لجنة,committee,委员会,NOUN
مجلس,council,理事会,NOUN
جماعة,group,团体,NOUN
جهة,region,地区,NOUN
نمو,growth,增长,NOUN
استثمر,to invest,投资,VERB
فرع,branch,分支机构,NOUN
مقر,headquarters,总部,NOUN
إنتاج,production,生产,NOUN
صناعة,industry,工业,NOUN
تجارة,trade,贸易,NOUN
تاجر,merchant,商人,NOUN
بضاعة,goods,货物,NOUN
فاتورة,invoice,发票,NOUN
معاملة,transaction,交易,NOUN
قطاع,sector,部门,NOUN
بترول,petroleum,石油,NOUN
غاز,gas,天然气,NOUN
انخفاض,decline,下降,NOUN
ارتفاع,rise,上升,NOUN
توزيع,distribution,分配,NOUN
مستهلك,consumer,消费者,NOUN
أعمال,business,商业,NOUN
بَنكيّ,banking,银行业的,ADJ
سحب,withdrawal,取款,NOUN
نِسْبَة,rate,比率,NOUN
اشْتِرَاك,subscription,订阅,NOUN
تَوْفِير,saving,储蓄,NOUN
مَبْلَغ,amount,金额,NOUN
شامل,comprehensive,全面的,ADJ
إلغاء,cancellation,取消,NOUN
خبير,expert,专家,NOUN
عدالة,justice,正义,NOUN
متهم,defendant,被告,NOUN
قتل,killing,杀害,NOUN
عنف,violence,暴力,NOUN
جلسة,hearing,听证会,NOUN
قضية,case,案件,NOUN
مدني,civil,民事的,ADJ
مجرم,criminal,罪犯,NOUN
دفاع,defense,辩护,NOUN
سجين,prisoner,囚犯,NOUN
منصب,position,职位,NOUN
إنجاز,achievement,成就,NOUN
تنظيم,organization,组织,NOUN
