German_Lemma,Spanish_Translation
ab,desde
Abend,tarde
Abendessen,cena
aber,pero
abfahren,partir
Abfahrt,salida
abfliegen,despegar
Abflug,despegue
abgeben,entregar
abholen,recoger
Absender,remitente
Achtung,atención
Adresse,dirección
alle,todo
allein,solo
also,entonces
alt,viejo
Alter,edad
an,en
anbieten,ofrecer
anderer,otro
Anfang,principio
anfangen,empezar
Angebot,oferta
anklicken,hacer clic
ankommen,llegar
ankreuzen,marcar con una cruz
Ankunft,llegada
anmachen,encender
anmelden,inscribirse
Anmeldung,inscripción
Anrede,tratamiento
Anruf,llamada
anrufen,llamar por teléfono
Ansage,anuncio
Anschluss,conexión
Antwort,respuesta
antworten,responder
Anzeige,anuncio
anziehen,vestir
Apartment,apartamento
Apfel,manzana
Appetit,apetito
Arbeit,trabajo
arbeiten,trabajar
Arm,brazo
Art,tipo
Arzt,médico
Ärztin,médica
auch,también
auf,sobre
Aufgabe,tarea
aufhören,terminar
aufstehen,levantarse
Aufzug,ascensor
Auge,ojo
aus,de
Ausflug,excursión
ausfüllen,rellenar
Ausgang,salida
Auskunft,información
Ausland,extranjero
Ausländer,extranjero
ausmachen,apagar
Aussage,declaración
aussehen,parecer
aussteigen,bajar
Ausweis,documento de identidad
ausziehen,quitarse
Auto,coche
Autobahn,autopista
Automat,cajero automático
Baby,bebé
Bäckerei,panadería
Bad,baño
baden,bañarse
Bahn,tren
Bahnhof,estación de tren
Bahnsteig,andén
bald,pronto
Balkon,balcón
Ball,pelota
Banane,plátano
Bank,banco
bar,en efectivo
Bauch,vientre
Baum,árbol
bedeuten,significar
beginnen,empezar
bei,en
beide,ambos
Bein,pierna
Beispiel,ejemplo
bekannt,famoso
Bekannte,conocido
bekommen,recibir
benutzen,utilizar
bereit,listo
Beruf,profesión
besetzt,ocupado
bestellen,pedir
besuchen,visitar
Bett,cama
bezahlen,pagar
Bier,cerveza
Bild,imagen
billig,barato
Birne,pera
bis,hasta
bisschen,poco
bitte,por favor
bitten,pedir
bitter,amargo
bleiben,quedarse
Bleistift,lápiz
Blick,vista
Blume,flor
Bogen,hoja
böse,enfadado
brauchen,necesitar
breit,ancho
Brief,carta
Briefmarke,sello
bringen,traer
Brot,pan
Brötchen,panecillo
Bruder,hermano
Buch,libro
Buchstabe,letra
Büro,oficina
Bus,autobús
Butter,mantequilla
Café,cafetería
Chef,jefe
circa,aproximadamente
Computer,ordenador
da,ahí
Dame,señora
daneben,al lado
Dank,agradecimiento
danken,agradecer
dann,entonces
Datum,fecha
dauern,durar
dein,tu
denn,porque
deutsch,alemán
dich,te
dieser,este
Ding,cosa
dir,te
Doktor,doctor
Doppelzimmer,habitación doble
Dorf,pueblo
dort,allí
draußen,fuera
drucken,imprimir
Drucker,impresora
drücken,pulsar
durch,a través de
Durchsage,anuncio
Durst,sed
Dusche,ducha
duschen,ducharse
dürfen,poder
eben,justo
Ecke,esquina
Ehefrau,esposa
Ehemann,esposo
Ei,huevo
eilig,con prisa
ein,un
einfach,fácil
Eingang,entrada
einkaufen,ir de compras
einladen,invitar
Einladung,invitación
einmal,una vez
einsteigen,subir
Eintritt,entrada
Einzelzimmer,habitación individual
Eis,hielo
Eltern,padres
E-Mail,correo electrónico
Empfänger,destinatario
empfehlen,recomendar
Ende,final
enden,terminar
endlich,finalmente
Entschuldigung,disculpa
er,él
erklären,explicar
erlauben,permitir
Erwachsene,adulto
erzählen,contar
es,ello
essen,comer
euer,vuestro
Euro,euro
Fahrer,conductor
Fahrkarte,billete
Fahrrad,bicicleta
fallen,caer
falsch,falso
Familie,familia
Familienname,apellido
Familienstand,estado civil
Farbe,color
fast,casi
Fax,fax
fehlen,faltar
Fehler,error
Feier,celebración
feiern,celebrar
Fenster,ventana
Ferien,vacaciones
fernsehen,ver la tele
fertig,listo
Fest,fiesta
Feuer,fuego
Fieber,fiebre
Film,película
finden,encontrar
Firma,empresa
Fisch,pescado
Flasche,botella
Fleisch,carne
